insanity;relatively permanent disorder of the mind
annoyance;the psychological state of being irritated or annoyed
bliss;a state of extreme happiness
chromatism;hallucinatory perception of colored lights
insaneness;obsolete terms for legal insanity
blues;an informal term for a state of depression. 'he had a bad case of the blues'
morale;a state of individual psychological well-being based upon a sense of confidence and usefulness and purpose
stationariness;remaining in place
mental strain;nervousness resulting from mental stress. 'his responsibilities were a constant strain'. 'the mental strain of staying alert hour after hour was too much for him'
flakiness;informal terms for insanity
pinprick;a minor annoyance
derangement;a state of mental disturbance and disorientation
mental disease;the psychological state of someone who has emotional or behavioral problems serious enough to require psychiatric intervention
catatonia;a form of schizophrenia characterized by a tendency to remain in a fixed stuporous state for long periods. the catatonia may give way to short periods of extreme excitement
wetness;"the condition of containing or being covered by a liquid (especially water). 'he confirmed the wetness of the paint'"
lunacy;obsolete terms for legal insanity
dementia;mental deterioration of organic or functional origin
scare;sudden mass fear and anxiety over anticipated events. 'panic in the stock market'. 'a war scare'
fuss;an excited state of agitation. 'he was in a dither'. 'there was a terrible flap about the theft'
moistness;a slight wetness
rationality;the state of having good sense and sound judgment. 'his rationality may have been impaired'. 'he had to rely less on reason than on rousing their emotions'
restlessness;a lack of patience. irritation with anything that causes delay
psychological state;"a mental condition in which the qualities of a state are relatively constant even though the state itself may be dynamic. 'a manic state'"
fret;agitation resulting from active worry. 'don't get in a stew'. 'he's in a sweat about exams'
paranoic type schizophrenia;a form of schizophrenia characterized by delusions (of persecution or grandeur or jealousy). symptoms may include anger and anxiety and aloofness and doubts about gender identity. unlike other types of schizophrenia the patients are usually presentable and (if delusions are not acted on) may function in an apparently normal manner
paraphrenia;a form of schizophrenia characterized by delusions (of persecution or grandeur or jealousy). symptoms may include anger and anxiety and aloofness and doubts about gender identity. unlike other types of schizophrenia the patients are usually presentable and (if delusions are not acted on) may function in an apparently normal manner
motionlessness;"a state of no motion or movement"
elation;an exhilarating psychological state of pride and optimism. an absence of depression
agitation;a mental state of extreme emotional disturbance
enchantment;a psychological state induced by (or as if induced by) a magical incantation
saneness;normal or sound powers of mind
tilth;"the state of aggregation of soil and its condition for supporting plant growth"
huff;a state of irritation or annoyance
self suggestion;hypnosis induced by yourself
alcohol amnestic disorder;dementia observed during the last stages of severe chronic alcoholism. involves loss of memory for recent events although long term memory is intact
stress;a state mental or emotional strain or suspense. 'he suffered from fatigue and emotional tension'
immobility;remaining in place
thinking cap;a state in which one thinks
trance;a psychological state induced by (or as if induced by) a magical incantation
mental illness;the psychological state of someone who has emotional or behavioral problems serious enough to require psychiatric intervention
korsakoff s syndrome;dementia observed during the last stages of severe chronic alcoholism. involves loss of memory for recent events although long term memory is intact
paranoid schizophrenia;a form of schizophrenia characterized by delusions (of persecution or grandeur or jealousy). symptoms may include anger and anxiety and aloofness and doubts about gender identity. unlike other types of schizophrenia the patients are usually presentable and (if delusions are not acted on) may function in an apparently normal manner
delirium tremens;acute delirium caused by alcohol poisoning
dementedness;mental deterioration of organic or functional origin
nerves;an uneasy state. 'he suffered an attack of nerves'
low spirits;a state of mild depression
mental balance;the healthy psychological state of someone with good judgment
mugginess;a state of warm humidity
mental state;"a mental condition in which the qualities of a state are relatively constant even though the state itself may be dynamic. 'a manic state'"
clamminess;unpleasant wetness
senile psychosis;dementia of the aged. results from degeneration of the brain in the absence of cerebrovascular disease
korsakov s syndrome;dementia observed during the last stages of severe chronic alcoholism. involves loss of memory for recent events although long term memory is intact
vexation;the psychological state of being irritated or annoyed
catatonic schizophrenia;a form of schizophrenia characterized by a tendency to remain in a fixed stuporous state for long periods. the catatonia may give way to short periods of extreme excitement
latent schizophrenia;schizophrenia characterized by mild symptoms or by some preexisting tendency to schizophrenia
craziness;informal terms for insanity
reactive schizophrenia;schizophrenia of abrupt onset and relatively short duration (a few weeks or months)
spell;a psychological state induced by (or as if induced by) a magical incantation
self hypnosis;hypnosis induced by yourself
delusions of grandeur;a delusion (common in paranoia) that you are much greater and more powerful and influential than you really are
perturbation;an unhappy and worried mental state. 'there was too much anger and disturbance'. 'she didn't realize the upset she caused me'
ecstasy;a state of elated bliss
serration;"the condition of being serrated. 'the serrations of a city skyline'"
zoanthropy;the delusion that you have assumed the form of an animal
somatic delusion;an delusion concerning the body image or parts of the body
mental unsoundness;a state of mental disturbance and disorientation
paraphrenic schizophrenia;a form of schizophrenia characterized by delusions (of persecution or grandeur or jealousy). symptoms may include anger and anxiety and aloofness and doubts about gender identity. unlike other types of schizophrenia the patients are usually presentable and (if delusions are not acted on) may function in an apparently normal manner
