old catholic church;catholic churches that broke away from the roman catholic church in the 18th century
wesleyan methodist church;original methodist church
john henry;hero of american folk tales. portrayed as an enormously strong black man who worked on the railroads and died from exhaustion after winning a contest with a steam drill
hierarchy;the organization of people at different ranks in an administrative body
military force;a unit that is part of some military service. 'he sent caesar a force of six thousand men'
health and human services;the federal department that administers all federal programs dealing with health and welfare. created in 1979
news agency;an agency to collects news reports for newspapers and distributes it electronically
cable railway;a railway up the side of a mountain pulled by a moving cable and having counterbalancing ascending and descending cars
contingent;a temporary military unit. 'the peace-keeping force includes one british contingent'
education;the federal department that administers all federal programs dealing with education (including federal aid to educational institutions and students). created 1979
post office;a local branch of the post office department
subsidiary;a company that is completely controlled by another company
catholic church;any of several churches claiming to have maintained historical continuity with the original christian church
unit investment trust;a regulated investment company consisting of professional managers who issue redeemable securities representing a portfolio of many different securities. 'you can invest in a unit investment trust for as little as 1000'
united states army;the army of the united states of america
fbi;the law enforcement agency in the justice department
commission on human rights;the commission of the economic and social council of the united nations that is concerned with human rights
iaea;the united nations agency concerned with atomic energy
big league;the most important league in any sport (especially baseball)
vice squad;a police group to enforce laws against gambling and prostitution
shift;a group of workers who work for a specific period of time
platoon;a military unit that is a subdivision of a company. usually has a headquarters and two or more squads. usually commanded by a lieutenant
babar;an imaginary elephant that appears in a series of french books for children
unicef;an agency of the united nations responsible for programs to aid education and the health of children and mothers in developing countries
agriculture;the federal department that administers programs that provide services to farmers (including research and soil conservation and efforts to stabilize the farming economy). created in 1862
sir john falstaff;a dissolute character in shakespeare's plays
trumpet section;the section of a band or orchestra that plays trumpets or cornets
army;an organization of military land forces
manufacturer;a business engaged in manufacturing some product
lobby;a group of people who try actively to influence legislation
symphony orchestra;a large orchestra. can perform symphonies. 'we heard the vienna symphony'
fire brigade;a private or temporary organization of individuals equipped to fight fires
paramilitary organization;a group of civilians organized in a military fashion (especially to operate in place of or to assist regular army troops)
financial organization;an institution (public or private) that collects funds (from the public or other institutions) and invests them in financial assets
prohibition party;a political party in the us. formed in 1869 to oppose the manufacture and sale of alcoholic beverages
diwan;a muslim council of state
baseball league;a league of baseball teams
omb;the executive agency that advises the president on the federal budget
major league club;a team that plays in a major league
octet;eight performers or singers who perform together
horse cavalry;troops trained to fight on horseback: '500 horse led the attack'
nessie;large aquatic animal supposed to resemble a serpent or plesiosaur of loch ness in scotland
engineering school;a technical school offering instruction in many industrial arts and applied sciences
bus line;an organization responsible for operating a bus transportation system
anti masonic party;a former political party in the us. founded in 1825 in opposition to freemasonry in public affairs
hebraism;jews who practice a religion based on the old testament and the talmud
international finance corporation;a united nations agency that invest directly in companies and guarantees loans to private investors. affiliated with the world bank
who;a united nations agency to coordinate international health activities and to help governments improve health services
drug company;a company that makes and sells pharmaceuticals
praetorian guard;the elite bodyguard of a roman emperor
trolley line;a transportation system using streetcars or trolley buses
nasa;an independent agency of the us government responsible for aviation and spaceflight
tarzan;a man raised by apes who was the hero of a series of novels by edgar rice burroughs
washington;the federal government of the united states
jehovah s witnesses;founded in us in late 19th century
atomic energy commission;a former agency (from 1947 to 1977) that was responsible for research into atomic energy and its peacetime uses in the us
underground;a secret group organized to overthrow a government or occupation force
yeti;large hairy humanoid creature said to live in the himalayas
printing concern;a company that does commercial printing
kolkhoz;(ussr) a collective farm owned by the communist state
fdic;a federally sponsored corporation that insures accounts in national banks and other qualified institutions
directorate;a group of persons chosen to govern the affairs of a corporation or other large institution
yeomanry;a british volunteer cavalry force organized in 1761 for home defense later incorporated into the territorial army
religion;institution to express belief in a divine power. 'he was raised in the baptist religion'. 'a member of his own faith contradicted him'
gang;an organized group of workmen
manhattan project;a former us agency that was responsible for developing atomic bombs during world war ii
craft union;a labor union whose membership is restricted to workers in a particular craft
driving school;a school where people are taught to drive automobiles
think tank;a company that does research for hire and issues reports on the implications
first team;a team representing a college or university
general baptist;group of baptist congregations believing the teachings of the dutch theologian jacobus arminius (who opposed the doctrine of strict predestination of the calvinists)
scheduled territories;the group of countries whose currencies are tied to the british pound sterling
unesco;an agency of the united nations that promotes education and communication and the arts
division;an administrative unit in government or business
capitol;the federal government of the united states
advertising agency;an agency that designs advertisement to call public attention to its clients
atheneum;a literary or scientific association for the promotion of learning
magazine publisher;a business firm that publishes magazines. 'he works for a magazine'
salamander;reptilian creature supposed to live in fire
money market;a market for short-term debt instruments
educational institution;an institution dedicated to education
glee club;a club organized to sing together
baptist denomination;group of baptist congregations
authorities;the organization that is the governing authority of a political unit. 'the government reduced taxes'. 'the matter was referred to higher authorities'
regime;the organization that is the governing authority of a political unit. 'the government reduced taxes'. 'the matter was referred to higher authorities'
odysseus;a mythical greek hero (roman name ulysses). his return to ithaca after the siege of troy was described in homer's odyssey
fed;the central bank of the us. incorporates 12 federal reserve branch banks and all national banks and stated charted commercial banks and some trust companies
consulting company;a firm of experts providing professional advice to an organization for a fee
tantalus;(greek mythology) a wicked king and son of zeus. condemned in hades to stand in water that receded when he tried to drink and beneath fruit that receded when he reached for it
rodya raskolnikov;a fictional character in dostoevsky's novel 'crime and punishment'. he kills old women because he believes he is beyond the bounds of good or evil
society of jesus;the jesuits: a roman catholic religious order
air force academy;an academy for train air force officers
ally;a friendly nation
pecking order;the organization of people at different ranks in an administrative body
banking company;a financial institution that accepts deposits and channels the money into lending activities. 'he cashed a check at the bank'. 'that bank holds the mortgage on my home'
financial institution;an institution (public or private) that collects funds (from the public or other institutions) and invests them in financial assets
honorary society;an institution for the advancement of art or science or literature
newspaper publisher;a business firm that publishes newspapers. 'murdoch owns many newspapers'
sea power;a nation that possesses formidable naval strength
greek church;state church of greece. an autonomous part of the eastern orthodox church
fabian society;an association of british socialists who advocate gradual reforms within the law leading to democratic socialism
patrol;a group that goes through a region at regular intervals for the purpose of security
confederate army;the southern army during the american civil war
treasury;the government department responsible for collecting and managing and spending public revenues
tom sawyer;the boy hero of a novel by mark twain
hare krishna;a society founded in the us in 1966. based on vedic scriptures. groups engage in joyful chanting of 'hare krishna' ('o krishna!')
depository financial institution;a financial institution that accepts deposits and channels the money into lending activities. 'he cashed a check at the bank'. 'that bank holds the mortgage on my home'
penelope;(greek mythology) the wife of odysseus and a symbol of devotion and fidelity. for 10 years while odysseus fought the trojan war she resisted numerous suitors until odysseus returned and killed them
wolfman;a monster able to change appearance from human to wolf
department of anthropology;the academic department responsible for teaching and research in anthropology
platoon;a team of policemen working under the military platoon system
pension fund;a financial institution that collects regular contributions from employers to provide retirement income for employees
complement;number needed to make up whole force: 'a full complement of workers'
ku klux klan;a secret society of white southerners to resist black emancipation
mennonite church;formed from the anabaptist movement in the 16th century. noted for its simplicity of life
masonry;freemasons collectively
protestant episcopal church;us church in communication with the see of canterbury
troop;a group of soldiers
bank holding company;a holding company owning or controlling one or more banks
department of state;the federal department that sets and maintains foreign policies. 'the department of state was created in 1789'
mob;an association of criminals. 'police tried to break up the gang'. 'a pack of thieves'
militia;civilians trained as soldiers but not part of the regular army
nondepository financial institution;a financial institution that funds their investment activities from the sale of securities or insurance
artillery unit;an army unit that uses big guns
united states government;the executive and legislative and judicial branches of the federal government of the us
jewish orthodoxy;jews who strictly observe the mosaic law as interpreted in the talmud
defense;the team that is trying to prevent the other team from scoring. 'his teams are always good on defense'
power company;a public utility that provides electricity
congregational church;a protestant denomination holding that each individual congregation should be self-governing
american federalist party;a major political party in the us in the early 19th century. founded by alexander hamilton. favored a strong centralized government
outfit;any cohesive unit such as a military company
duo;two performers or singers who perform together
combine;a consortium of companies formed to limit competition. 'they set up the trust in the hope of gaining a monopoly'
united nations educational scientific and cultural organization;an agency of the united nations that promotes education and communication and the arts
little red ricing hood;a girl in a fairy tale who meets a wolf while going to visit her grandmother
roc;mythical bird of prey having enormous size and strength
executive council;a council that shares the supreme executive power
primum mobile;"a self-caused agent that is the cause of all things. 'god is the first cause'"
labor department;the federal department responsible for promoting the working conditions of wage earners. created in 1913
elevated railroad;an electric elevated railway
government agency;an administrative unit of government. 'the central intelligence agency'. 'the census bureau'. 'office of management and budget'. 'tennessee valley authority'
paramilitary;a group of civilians organized in a military fashion (especially to operate in place of or to assist regular army troops)
polytechnic institute;a technical school offering instruction in many industrial arts and applied sciences
national bank;a commercial bank chartered by the federal government
shell entity;a company that is incorporated but has no assets or operations
packaging concern;a company that packages goods for sale or shipment or storage
fashion industry;a maker and seller of fashionable clothing
taoism;religion adhering to the teaching of lao-tzu
romulus;(roman mythology) founder of rome. suckled with his twin brother remus by a wolf after their parents (rhea silvia and mars) abandoned them. romulus killed remus in an argument over the building of rome
issuer;an institution that issues something (securities or publications or currency etc.)
troop;a unit of girl or boy scouts
van;the leading units moving at the head of an army
states;a former political party in the us. formed in 1948 by southern democrats opposed to the candidacy of harry s truman
tennis club;a club of people to play tennis
vaishnavism;hindu sect worshiping of vishnu
rotc;a training program to prepare college students to be commissioned officers
federal housing administration;the federal agency that insures residential mortgages
gas service;a public utility that provides gas
academy;an institution for the advancement of art or science or literature
bureau of engraving and printing;the agency of the treasury department that produces currency
cockatrice;monster hatched by a reptile from a cock's egg. able to kill with a glance
section;a division of an orchestra containing all instruments of the same class
justice department;the federal department responsible for enforcing federal laws (including the enforcement of all civil rights legislation). created in 1870
mathematics department;the academic department responsible for teaching and research in mathematics
printing company;a company that does commercial printing
public school;(british) private independent secondary school supported by endowment and tuition
sleeping beauty;a potential takeover target that has not yet been put in play
consumer finance company;a finance company that makes loans to people who have trouble getting a bank loan
territorial reserve;a territorial military unit
mythical being;an imaginary being of myth or fable
troops;soldiers collectively
vertical union;a labor union that admits all workers in a given industry irrespective of their craft
voland;(norse mythology) a wonderful smith. identified with anglo-saxon wayland and teutonic wieland
orion;(greek mythology) a giant boeotian hunter who pursued the pleiades and was eventually slain by artemis. was then placed in the sky as a constellation
full complement;number needed to make up whole force: 'a full complement of workers'
public school;a free school supported by taxes and controlled by a school board
corporate investor;a company that invests in (acquires control of) other companies
un agency;an agency of the united nations
department of housing and urban development;the federal department that administers federal program dealing with better housing and urban renewal. created in 1965
minor league club;a team that plays in a minor league
priam;(greek mythology) the last king of troy. father of hector and paris and cassandra
household;a social unit living together. 'he moved his family to virginia'. 'it was a good christian household'. 'i waited until the whole house was asleep'. 'the teacher asked how many people made up his home'
federal home loan bank system;the central credit system for thrift institutions
service staff;those in a business responsible for maintaining the physical plant
eurydice;(greek mythology) the wife of orpheus
manufacturing business;a business engaged in manufacturing some product
reich;the german state
tiresias;(greek mythology) the blind prophet of thebes who revealed to oedipus that oedipus had murdered his father and married his mother
hydra;(greek mythology) monster with nine heads. when struck off each head was replaced by two new ones. 'hydra was slain by hercules'
life principle;"a hypothetical force to which the functions and qualities peculiar to living things are sometimes ascribed"
class;a league ranked by quality. 'he played baseball in class d for two years'. 'princeton is in the ncaa division 1-aa'
country club;a suburban club for recreation and socializing
hypothetical creature;a creature that has not been observed but is hypothesized to exist
member bank;a bank that is a member of the federal reserve system
savings and loan association;a thrift institution that is required by law to make a certain percentage of its loans as home mortgages
executive agency;an agency of the executive branch of government
foot;an army unit consisting of soldiers who fight on foot. 'there came ten thousand horsemen and as many fully-armed foot'
food company;a company that processes and sells food
evening shift;workers who work during the evening (as 4 p.m. to midnight)
farm team;a minor-league team that is owned by a major-league team (especially in baseball)
sales department;the division of a business that is responsible for selling
liliputian;a citizen of liliput (the imaginary country in gulliver's travels)
orpheus;(greek mythology) a great musician. when his wife eurydice died he went to hades to get her back but failed
security;a department responsible for the security of the institutions property and workers. 'the head of security was a former policeman'
pygmalion;(greek mythology) the king of cyprus who fell in love with the statue of a woman (galatea) he had created
road gang;a gang of road workers
brahmanism;the religious and social system of orthodox hinduism
economics department;the academic department responsible for teaching and research in economics
naval academy;an academy for training naval officers
federal deposit insurance corporation;a federally sponsored corporation that insures accounts in national banks and other qualified institutions
broadcasting company;a company that manages tv or radio stations
remus;(roman mythology) the twin brother of romulus
cadre;a small unit serving as the nucleus of a larger political movement
greenback party;a former political party in the us. organized in 1874. opposed any reduction in the amount of paper money in circulation
white house;the chief executive department of the us government
crew;the men who man a ship or aircraft
extraterrestrial being;a form of life assumed to exist outside the earth or its atmosphere
state government;the government of a us state
federal home loan mortgage corporation;a corporation authorized by congress to provide a secondary market for residential mortgages
executive department;a federal department in the executive branch of government
ogress;a female ogre
sabaoth;(plural) hosts or armies. used in the book of romans in the new testament of the bible: 'lord of sabaoth'
camorra;a secret society in naples notorious for violence and blackmail
lamaism;tibetan buddhism having great variety in its ritual practices and a complex hierarchical organization
law firm;a firm of lawyers
panel;a committee appointed to judge a competition
supernatural;"supernatural forces and events and beings collectively. 'she doesn't believe in the supernatural'"
business department;a division of a business firm
research staff;a group of associated research workers in a university or library or laboratory
center for disease control;a government agency in atlanta that investigates and diagnoses and tries to control diseases (especially new and unusual diseases)
third house;a group of people who try actively to influence legislation
steel company;a company that makes and sells steel
law;the force of policemen and officers. 'the law came looking for him'
seminary;a theological school for training ministers or priests or rabbis
elementary school;a school for young children. usually the first 6 or 8 grades
gangland;"underworld organizations"
axis;a group of countries in special alliance
society;a formal association of people with similar interests. 'he joined a golf club'. 'they formed a small lunch society'. 'men from the fraternal order will staff the soup kitchen today'
boogeyman;an imaginary monster used to frighten children
mafia;a secret terrorist group in sicily. originally opposed tyranny but evolved into a criminal organization in the middle of the 19th century
world council of churches;an ecumenical organization of protestant and eastern churches. intended to promote unity and cooperation in religious and secular matters
department of justice;the federal department responsible for enforcing federal laws (including the enforcement of all civil rights legislation). created in 1870
political party;an organization to gain political power. 'in 1992 perot tried to organize a third party at the national level'
cult;adherents of an exclusive system of religious beliefs and practices
metro;an electric underground railway
grammar school;a school for young children. usually the first 6 or 8 grades
face amount certificate company;a regulated investment company that pays a stated amount to certificate holders on a stated maturity date
ground service crew;the crew of technicians and mechanics who service aircraft on the ground
air group;a unit of the us air force larger than a squadron and smaller than a wing
regular army;an organization of military land forces
political machine;a group that controls the activities of a political party. 'he was endorsed by the democratic machine'
jewelry store;a firm that sells and buys jewelry
dixiecrats;a former political party in the us. formed in 1948 by southern democrats opposed to the candidacy of harry s truman
board of appeals;a board of officials that are not judicial but are appointed to hear appeals
statistical commission;the commission of the economic and social council of the united nations that is concerned with statistical data from member nations
the shiites;one of the two main branches of orthodox islam. mainly in iran
concern;a commercial or industrial enterprise and the people who constitute it. 'he bought his brother's business'. 'a small mom-and-pop business'. 'a racially integrated business concern'
argonaut;(classical mythology) one of the heroes who sailed with jason on the argo in search of the golden fleece
mutual savings bank;a state-chartered savings bank owned by its depositors and managed by a board of trustees
congregational christian church;merger of the congregational church and the christian church
lycee;a school for students intermediate between elementary school and college. usually grades 9 to 12
sc;a permanent council of the united nations. responsible for preserving world peace
home reserve;us military reserves recruited by the states and equipped by the federal government. subject to call by either
command;a military unit or region under the control of a single officer
machine;an intricate organization that accomplishes its goals efficiently. 'the war machine'
empire;a group of countries under a single authority: 'the roman empire'
security staff;those in an organization responsible for preventing spying or theft
alliance;an organization of people (or countries) involved in a pact or treaty
brokerage firm;a stock broker's business. charges a fee to act as intermediary between buyer and seller
hero;(classical mythology) a being of great strength and courage celebrated for bold exploits. often the offspring of a mortal and a god
christian church;a group of christians. any group professing christian doctrine or belief. 'church is a biblical term for assembly'
utility;a company that performs a public service. subject to government regulation
populist party;a former political party in the us. formed in 1891 to advocate currency expansion and state control of railroads
holy roman empire;the lands ruled by charlemagne. a continuation of the roman empire in europe
division;a unit of the us air force usually comprising two or more wings
ghost;the visible disembodied soul of a dead person
insurance firm;a financial institution that sells insurance
monorail;a single-track railway
school of nursing;a school for training nurses
music department;the academic department responsible for teaching music and music appreciation
show business;those involved in providing entertainment: radio and television and films and theater
task force;a semipermanent unit created to carry out a continuing task
general agreement on tariffs and trade;a united nations agency created by a multinational treaty to promote trade by the reduction of tariffs and import quotas
scout group;a unit of girl or boy scouts
robin hood;legendary english outlaw said to have robbed the rich to help the poor
brass band;a group of musicians playing only brass and percussion instruments
socialist labor party;a political party in the us. formed in 1874 to advocate the peaceful introduction of socialism
authority;an administrative unit of government. 'the central intelligence agency'. 'the census bureau'. 'office of management and budget'. 'tennessee valley authority'
superpower;a state powerful enough to influence events throughout the world
rock group;a band of musicians who play rock-'n'-roll music
eye clinic;a clinic where specialist care for a patient's eyes
water company;a public utility that provides water
pack;an association of criminals. 'police tried to break up the gang'. 'a pack of thieves'
department of philosophy;the academic department responsible for teaching philosophy
disciples of christ;a protestant church that accepts the bible as the only source of true christian faith and practices baptism by immersion
phone service;a public utility that provides telephone service
united states navy;the navy of the united states of america
military unit;a unit that is part of some military service. 'he sent caesar a force of six thousand men'
energy department;the federal department responsible for maintaining a national energy policy. created in 1977
french academy;an honorary group of french writers and thinkers supported by the french government. 'the french academy sets standards for the use of the french language'
treasury;the federal department that collects revenue and administers federal finances. the treasury department was created in 1789
christian science;founded by mary baker eddy in 1866
international development association;an agency of the united nations affiliated with the world bank
labor union;an organization of employees formed to bargain with the employer. 'you have to join the union in order to get a job'
nation;a federation of tribes (especially native american tribes). 'the shawnee nation'
transportation company;a company providing transportation
commodity brokerage;a brokerage firm dealing in commodities
general staff;military officers assigned to assist a senior officer in planning military policy
democratic party;the older of two major political parties in the us
fixed investment trust;an investment trust that can buy only those securities listed when the trust was organized
suzerain;a state exercising a degree of dominion over a dependent state especially in its foreign affairs
veterinary school;a school teaching veterinary medicine
deputation;a group of representatives or delegates
lutheran church;the protestant denomination adhering to the views of martin luther
fsb;a federally chartered savings bank
islam;muslims collectively and their civilization. based on a monotheistic religion believing that mohammed was the last and major prophet of god. 'the term mohammedanism is offensive to muslims'
secretariat;an administrative unit responsible for maintaining records and other secretarial duties. especially for international organizations
boarding school;a private school where students are lodged and fed as well as taught
third party;a political party organized in opposition to the major parties in a two-party system
patrol;a detachment used for security or reconnaissance
mammon;(new testament) a personification of wealth and avarice as an evil spirit. 'ye cannot serve god and mammon'
lions club;club dedicated to promoting responsible citizenship and good government and community and national and international welfare
united methodist church;union of the methodist church and the evangelical united brethren
armorer;a manufacturer of firearms
nine;a team of professional baseball players who play and travel together. 'each club played six home games with teams in its own division'
