worm genus;a genus of worms
genus gorilla;gorillas
fagaceae;chiefly monoecious trees and shrubs: beeches. chestnuts. oaks. genera castanea. castanopsis. chrysolepis. fagus. lithocarpus. nothofagus. quercus
percoidea;in some classifications nearly or exactly equivalent to the perciformes which are considered a suborder
thermobia;a genus of lepismatidae
genus placuna;windowpane oysters
genus eburophyton;a monocotyledonous genus of the family orchidaceae
family erythroxylaceae;a family of plants of order geraniales. have drupaceous fruit
apocynaceae;chiefly tropical trees or shrubs or herbs having milky juice and often showy flowers. many are sources of drugs
class polyplacophora;small class of marine mollusks comprising the chitons. sometimes considered an order of the subclass amphineura
dicynodontia;a division of therapsida
varanidae;monitor lizards
cycadophyta;palmlike gymnosperms: includes the surviving order cycadales and several extinct orders. possibly not a natural group. in some systems considered a class (cycadopsida) and in others a subdivision (cycadophytina or cycadophyta)
genus elsholtzia;genus of asiatic and african aromatic herbs
genus chloranthus;type genus of the chloranthaceae
sphaeriaceae;parasitic fungi having globose and sometimes necked or beaked perithecia
order endomycetales;fungi having a zygote or a single cell developing directly into an ascus
cycadopsida;palmlike gymnosperms: includes the surviving order cycadales and several extinct orders. possibly not a natural group. in some systems considered a class (cycadopsida) and in others a subdivision (cycadophytina or cycadophyta)
genus castilleja;genus of western north and south american perennials often partially parasitic on roots of grasses
orchestiidae;beach fleas
genus platycerium;often epiphytic tropical old world ferns
dionaea;a genus of the family droseraceae
genus boletellus;a genus of fungi belonging to the family boletaceae
patellidae;marine limpets
pterocles;type genus of the pteroclididae
sapindaceae;chiefly tropical new and old world deciduous and evergreen trees and shrubs bearing leathery drupes with yellow translucent flesh. most plants produce toxic saponins
honeysuckle family;shrubs and small trees and woody vines
terebella;type genus of terebellidae. tube-forming marine polychete worms with many filamentous tentacles
genus taricha;pacific newts
genus swainsona;genus of australian herbs and subshrubs: darling peas
sialidae;an arthropod family including: alderflies
pilosella;genus of hairy perennial herbs with horizontal rhizomes and leafy or underground stolons. eurasia and north africa. often considered congeneric with hieracium
rhinotermitidae;large widely distributed family of termites of temperate to tropical regions
motacillidae;pipits and wagtails
menippe;stone crabs
genus meconopsis;herbs almost entirely of mountains of china and tibet. often monocarpic
dipodidae;old world jerboas
felicia;genus of tropical african herbs or subshrubs with usually blue flowers
genus turreae;genus of trees and shrubs of tropical africa and asia and australia
subclass eutheria;all mammals except monotremes and marsupials
gynura;genus of old world tropical herbs: velvet plants
order isopoda;woodlice
genus acrocomia;central and south american feather palms
genus tetraneuris;genus of hairy yellow-flowered plants ofwestern united states. includes plants sometimes placed in genus hymenoxys
genus titanosaurus;genus of herbivorous dinosaurs flourishing during the cretaceous in south america
class ginkgopsida;ginkgos: in some systems classified as a class (ginkgopsida) and in others as a subdivision (ginkgophytina or ginkgophyta). used in some classifications for one of five subdivisions of gymnospermophyta
tiliaceae;chiefly trees and shrubs of tropical and temperate regions of especially southeastern asia and brazil. genera tilia. corchorus. entelia. grewia. sparmannia
begoniaceae;monoecious succulent herbs or shrubs of tropical and warm regions especially america
genus panonychus;a genus of tetranychidae
hominidae;modern man and extinct immediate ancestors of man
taxon;"animal or plant group having natural relations"animal or plant group having natural relations
genus dicksonia;tree ferns of temperate australasia having bipinnatifid or tripinnatifid fronds and usually marginal sori. in some classification systems placed in family cyatheaceae
genus theobroma;cacao plants
genus lumpenus;a genus of stichaeidae
haemanthus;genus of african deciduous or evergreen bulbous herbs: blood lilies
cedrus;true cedars
bruckenthalia;1 species: spike heath
dipladenia;genus of tropical south american tuberous perennial woody vines with large racemose flowers and milky sap
melursus;sloth bears. in some classifications not a separate genus from ursus
suborder maniraptora;advanced theropods including oviraptorids and dromaeosaurs and possibly even modern birds
genus myrtillocactus;small genus of arborescent cacti of mexico and central america
sirenia;manatees. dugongs. stellar's sea cow
genus alcelaphus;african antelopes: hartebeests
zygnematales;pond scums. desmids
genus acacia;large genus of shrubs and trees and some woody vines of central and south america, africa, australia and polynesia: wattle. mimosa
lycopus;small genus of nonaromatic herbs of the mind family
genus houttuynia;1 species. east asian low-growing plant of wet places
ringdove;grayish old world turtledove with a black band around the neck. often caged
cryptophyta;a phylum in the kingdom protoctista
genus erolia;a genus of scolopacidae
arctocebus;a genus of lorisidae
cyperus;type genus of cyperaceae. grasslike rhizomatous herbs. cosmopolitan except very cold regions
remilegia;a genus of echeneididae
genus lambertia;small genus of australian shrubs
sisal family;chiefly tropical and xerophytic plants: includes dracenaceae (dracaenaceae). comprises plants that in some classifications are divided between the amaryllidaceae and the liliaceae
genus terrapene;box turtles
ruta;type genus of the rutaceae. strong-scented eurasian herbs and subherbs
rhynia;type genus of the rhyniaceae. small leafless dichotomously branching fossil plants with terminal sporangia and smooth branching rhizomes
dracunculus;type genus of the family dracunculidae
genus lagothrix;woolly monkeys
phylum annelida;segmented worms: earthworms. lugworms. leeches
leontopodium;edelweiss
class pelecypoda;oysters. clams. scallops. mussels
genus lemmus;lemmings
family mantidae;mantises
genus albatrellus;a genus of fungi belonging to the family polyporaceae
genus myrica;deciduous aromatic shrubs or small trees
family sarcoptidae;small whitish mites
sparmannia;small genus of tropical african shrubs
euryalida;basket stars
uta;a reptile genus of iguanidae
schizophyta;former term for the cyanophyta
pea family;a large family of trees, shrubs, vines, and herbs bearing bean pods. divided for convenience into the subfamilies caesalpiniaceae. mimosaceae. papilionaceae
opheodrys;north american green snakes
phyllorhynchus;leaf-nosed snakes
vanessa;painted beauty and red admiral
genus desmodium;beggarweed. tick_trefoil
stictopelia;a genus of columbidae
viverrinae;genets. civets. mongooses
tageteste;marigolds
adapid;extinct small mostly diurnal lower primates that fed on leaves and fruit. abundant in north america and europe 30 to 50 million years ago. their descendents probably include the lemurs. some authorities consider them ancestral to anthropoids but others consider them only cousins
papio;baboons
family sialidae;an arthropod family including: alderflies
genus callirhoe;small genus of north american herbs having usually red or purple flowers
ambloplites;a genus of centrarchidae
family sphaerocarpaceae;liverworts with bilaterally symmetrical gametophytes. sometimes placed in the order jungermanniales
potamophis;ground snakes
tethys;type genus of the family aplysiidae
genus aranea;a genus of orb-weaving spiders including common garden spiders and barn spiders
genus phalangium;type genus of the family phalangiidae
plane tree family;coextensive with the genus platanus: plane trees
hyssopus;eurasian genus of perennial herbs or subshrubs
class ciliophora;class of protozoa having cilia or hairlike appendages on part or all of the surface during some part of the life cycle
genus grammatophyllum;small genus of large epiphytic or terrestrial orchids of southeastern asia to polynesia. the giants of the orchidaceae having long narrow leaves and drooping flower clusters often 6 feet long
dinoflagellata;in some classifications considered a phylum of the kingdom protista. in others included in the plant phylum pyrrophyta
family salviniaceae;water ferns
family procyonidae;raccoons. coatis. cacomistles. kinkajous. and sometimes pandas
talinum;genus of mainly american more-or-less succulent herbs
family taeniidae;a family of cestoda
family tuberculariaceae;large family of mainly saprophytic imperfect fungi
genus carpocapsa;codling moths
uca;fiddler crabs
genus papaver;type genus of the papaveraceae. chiefly bristly hairy herbs with usually showy flowers
muscidae;two-winged flies esp. the housefly
subfamily turdinae;alternative classification for the thrushes
genus citellus;typical ground squirrels
genus lobelia;in some classifications considered the type genus of a separate family lobeliaceae
myopus;a genus of cricetidae
circus;a genus of haws comprising the harriers
lasiocampa;type genus of the lasiocampidae: eggars
genus gossypium;herbs and shrubs and small trees: cotton
genus symplocus;type and sole genus of symplocaceae including sweetleaf
genus liopelma;type and sole genus of the family leiopelmatidae
genus cassiope;low tufted evergreen shrubs of colder parts of north temperate regions having mosslike foliage and nodding white or pink flowers
genus ouranopithecus;a genus of hominidae
genus ceroxylon;wax palms
family anomalopidae;a family of fish including: flashlight fishes
scorpaenidae;scorpionfishes. rockfishes. lionfishes
oriolus;type genus of the oriolidae
family centrarchidae;sunfish family
genus euproctis;a genus of lymantriidae
genus lota;burbot
begonia family;monoecious succulent herbs or shrubs of tropical and warm regions especially america
pseudomonodaceae;rod-shaped gram-negative bacteria. include important plant and animal pathogens
family combretaceae;a family of tropical trees and shrubs of the order myrtales
genus fenusa;birch leaf miner
division lichenes;comprising the lichens which grow symbiotically with algae. sometimes treated as an independent group more or less coordinate with algae and fungi
genus metroxylon;a genus of malayan pinnate-leaved palm trees that flower and fruit once and then die
phoeniculidae;wood hoopoes
genus ceratodus;type genus of the ceratodontidae: extinct genus of lungfishes
genus trilisa;genus of herbs of southern united states
genus zaglossus;a genus of tachyglossidae
genus aphis;type genus of the aphididae: injurious to fruit trees and vegetables
genus streptococcus;a genus of bacteria
dacrymyces;type genus of the dacrymycetaceae: fungi with a bifurcate basidium that lacks septa
eubacteriales;one of two usually recognized orders of true bacteria. gram-positive spherical or rod-shaped forms. some are motile. in some classifications considered an order of schizomycetes
genus olfersia;1 species. in some classification systems included in genus polyboatrya
puccinia;type genus of the pucciniaceae. a large genus of parasitic fungi including many that are destructive to various economic plants
hyoscyamus;genus of poisonous herbs: henbane
genus discina;a genus of fungi of the family helvellaceae with a cup-shaped or saucer-shaped fruiting body and ornamented spores
genus alcea;genus of erect herbs of the middle east having showy flowers: hollyhocks. in some classification systems synonymous with althea
agaricales;typical gilled mushrooms belonging to the subdivision basidiomycota
genus nyctaginia;a caryophyllaceous genus of the family nyctaginaceae having only one species
bellis;daisy
euphagus;a genus of icteridae
genus pachysandra;evergreen perennial procumbent subshrubs or herbs
genus elagatis;a genus of carangidae
family corydalidae;dobsons
family loganiaceae;a dicotyledonous family of plants of order gentianales
genus rhincodon;whale sharks
family ancylostomatidae;hookworms
genus rivulus;killifish
sarcobatus;1 species: greasewood
horse chestnut family;trees having showy flowers and inedible nutlike seeds in a leathery capsule
lysimachia;loosestrife: a cosmopolitan genus found in damp or swampy terrain having usually yellow flowers. inclined to be invasive
thripidae;thrips
picus;type genus of picidae
genus lepidocybium;a genus of gempylidae
genus dialeurodes;a genus of aleyrodidae
genus notropis;shiners
family coregonidae;soft-finned fishes comprising the freshwater whitefishes. formerly included in the family salmonidae
cystopteris;chiefly small perennial rock ferns: bladder ferns. in some classifications placed in polypodiaceae
paronychia;low-growing annual or perennial herbs or woody plants. whitlowworts
genus macroclemys;alligator snapping turtles
adonis;annual or perennial herbs
subdivision cycadophyta;palmlike gymnosperms: includes the surviving order cycadales and several extinct orders. possibly not a natural group. in some systems considered a class (cycadopsida) and in others a subdivision (cycadophytina or cycadophyta)
family sphaerobolaceae;monotypic family of fungi in which the more or less spherical gleba is forcibly ejected at maturity
genus ocyurus;snappers
genus rhodosphaera;1 species. an australian evergreen sumac
genus pandion;type genus of the pandionidae
genus primula;very large and important genus of plants of temperate europe and asia having showy flowers
pholas;type genus of the family pholadidae: piddocks
family roridulaceae;in some classifications included in the family droseraceae
genus gleditsia;deciduous trees: honey locusts
toxicodendron;in some classifications: comprising those members of the genus rhus having foliage that is poisonous to the touch. of north america and northern south america
family lepisosteidae;comprises the genus lepisosteus
witch grass;north american grass with slender brushy panicles. often a weed on cultivated land
galeocerdo;tiger sharks
polynemidae;threadfins
carduus;genus of annual or perennial old world prickly thistles
sphenopsida;horsetails and related forms
onychium;small terrestrial ferns of old world tropics and subtropics: claw ferns. sometimes placed in family cryptogrammataceae
diodontidae;spiny puffers
gleichenia;type genus of gleicheniaceae: leptosporangiate ferns with sessile sporangia. south africa to maylasia and new zealand
genus tilia;deciduous trees with smooth usually silver-gray bark of north america and europe and asia: lime trees. lindens. basswood
plecotus;a genus of vespertilionidae
genus lagodon;a genus of sparidae
genus scaphiopus;new world spadefoot toads
family polyodontidae;paddlefishes
genus simarouba;type genus of simaroubaceae. tropical american trees and shrubs having a pale soft wood and bitter bark
family upupidae;hoopoes
asphodelus;small genus of tall striking annuals or perennials with grasslike foliage and flowers in dense racemes or panicles. mediterranean to himalayas. sometimes placed in family asphodelaceae
pharomacrus;a genus of trogonidae
bryales;category used in some classification systems for mosses having the spore case separated from the capsule wall by a hollow intercellular space
phylum mollusca;gastropods. bivalves. cephalopods. chitons
genus albizzia;large genus of unarmed trees and shrubs of old world tropics
family myxinidae;slime-producing marine animals: hagfishes
phaethon;type genus of the phaethontidae
thelypteris;marsh ferns: in some classification systems considered part of genus dryopteris in family dryopteridaceae
genus metasequoia;genus of deciduous conifers comprising both living and fossil forms. 1 extant species: dawn redwood of china. variously classified as member of pinaceae or taxodiaceae
genus epacris;type genus of the epacridaceae: australian heath
family cimicidae;wingless flat-bodied blood-sucking insects
genus argyranthemum;comprises plants often included in the genus chrysanthemum
cyanophyta;prokaryotic organisms sometimes considered a class or phylum or subkingdom. coextensive with the cyanophyceae: cyanobacteria (blue-green algae)
subclass synapsida;extinct reptiles of the permian to jurassic considered ancestral to mammals
genus canella;1 species
family coprinaceae;used in some classifications for the genus coprinus
millet;extensively cultivated in europe and asia for its grain and in united states sometimes for forage
subfamily numidinae;guinea fowl and related birds of africa and madagascar
entolomataceae;a family of fungi belonging to the order agaricales
plecoptera;stoneflies
subclass dibranchiata;comprising all living cephalopods except the family nautilidae: the orders octopoda (octopuses) and decapoda (squids and cuttlefish)
ambystoma;type genus of the ambystomatidae
gracillariidae;leaf miners
order rheiformes;a ratite bird order: birds intermediate in characteristics between ostriches and emus: recent and extinct rheas
rutaceae;a family of dicotyledonous plants of order geraniales. have flowers that are divide into four or five parts and usually have a strong scent
smiledon;saber-toothed tigers
genus zenaidura;mourning doves
genus hyperoodon;bottle-nosed whales
genus agriocharis;a genus of birds of the family meleagrididae including the ocellated turkey
gavialis;type genus of the gavialidae
culicidae;mosquitoes
order ranales;herbs, shrubs and trees: includes families ranunculaceae. annonaceae. berberidaceae. magnoliaceae. menispermaceae. myristicaceae. nymphaeaceae. lardizabalaceae. lauraceae. calycanthaceae. ceratophyllaceae. cercidiphyllaceae
family psittacidae;coextensive with the order psittaciformes
marrubium vulgare;european aromatic herb with hairy leaves and numerous white flowers in axillary cymes. leaves yield a bitter extract use medicinally and as flavoring
genus leptopteris;including some ferns sometimes placed in genus todea
genus plesiosaurus;a reptile genus of suborder plesiosauria
family lactobacteriaceae;lactic acid bacteria and important pathogens. bacteria that ferment carbohydrates chiefly into lactic acid
genus mycobacterium;nonmotile gram-positive aerobic bacteria
heterostraci;extinct group of armored jawless fishes or fishlike vertebrate. taxonomy is not clear
genus camellia;tropical asiatic evergreen shrubs or small trees
genus cordylus;type genus of the cordylidae. spiny lizards somewhat resembling tiny crocodiles
mastigomycotina;fungi in which the spores and gametes are motile. in some systems placed in the phycomycetes group with the zygomycota
syrrhaptes;a genus of pteroclididae
genus pavo;peafowl
family zygnemataceae;pond scums: common freshwater algae forming green slimy masses
genus maia;type genus of the majidae. nearly cosmopolitan
genus buckleya;small genus of asiatic and american parasitic shrubs
acanthophis;australian elapid snakes
gentianales;gentianaceae. apocyanaceae. asclepiadaceae. loganiaceae. oleaceae. salvadoraceae
phragmites communis;tall north american reed having relative wide leaves and large plumelike panicles. widely distributed in moist areas. used for mats, screens and arrow shafts
family portunidae;swimming crabs
mallow family;herbs and shrubs and some trees: mallows. cotton. okra
trumpet creeper;a north american woody vine having pinnate leaves and large red trumpet-shaped flowers
genus sarcophilus;tasmanian devil
genus morus;type genus of the moraceae: mulberries
genus acherontia;death's-head moth
juncaceae;tufted herbs resembling grasses: rushes
enterobacteriaceae;enterobacteria
charadrius;type genus of the charadriidae: plovers
genus corydalis;type genus of the corydalidae
neophron;a genus of accipitridae
order casuariiformes;a ratite bird order: cassowaries and emus
division chrysophyta;mostly freshwater eukaryotic algae having the chlorophyll masked by brown or yellow pigment. yellow-green and golden-brown algae and diatoms: xanthophyceae, chrysophyceae, bacillariophyceae. some some classification systems superseded or subsumed by heterokontophyta
genus castor;type genus of the castoridae: beavers
genus catalpa;a dicotyledonous genus of plants belonging to the family bignoniaceae. has large flowers (white or mottled) and long terete pods
genus phacochoerus;warthogs
genus dendrocolaptes;type genus of the dendrocolaptidae
xiphiidae;comprising the common swordfishes
family chalcididae;an arthropod family including: chalcidflies
potato family;large and economically important family of herbs or shrubs or trees often strongly scented and sometimes narcotic or poisonous. includes the genera solanum. atropa. brugmansia. capsicum. datura. hyoscyamus. lycopersicon. nicotiana. petunia. physalis. solandra
genus cicuta;small genus of perennial herbs having deadly poisonous tuberous roots: water hemlock
azolla;a genus of fern sometimes placed in its own family azollaceae
chordata;comprises true vertebrates and animals having a notochord
uintatherium;type genus of the uintatheriidae. extinct large herbivorous ungulates somewhat resembling elephants. from the eocene in wyoming
hyperoglyphe;a genus of stromateidae
genus salvelinus;brook trout
genus anthyllis;genus of mediterranean herbs and shrubs
lasthenia;small genus of herbs of pacific coast of north and south america
class chlorophyceae;algae distinguished chiefly by having flagella and a clear green color, their chlorophyll being masked little if at all by other pigments
formica;type genus of the formicidae
chimonanthus;small genus of asian deciduous or evergreen shrubs having fragrant flowers: winter_sweet
chelydra;snapping turtles
genus osmerus;type genus of the osmeridae
insectivora;shrews. moles. hedgehogs. tenrecs
nemertina;proboscis worms
alca;type genus of the alcidae comprising solely the razorbill
order columbiformes;sand grouse. pigeons. doves. extinct dodos and solitaires
genus saxifraga;type genus of the saxifragaceae. large genus of usually perennial herbs of arctic and cool regions of northern hemisphere: saxifrage
genus dicrostonyx;pied lemmings
family labridae;wrasses
aglaomorpha;epiphytic ferns of tropical asia
neurospora;genus of fungi with black perithecia used extensively in genetic research. includes some forms with orange spore masses that cause severe damage in bakeries
subclass;(biology) a taxonomic category below a class and above an order
genus malaxis;large genus of largely terrestrial orchids with one or a few plicate leaves and slender spikes or tiny mostly green flowers. cosmopolitan
rhamnus;type genus of the rhamnaceae: buckthorns
ulva;type genus of the family ulvaceae. green seaweed having a thallus two cells thick: sea lettuce
genus uria;murres
family bradypodidae;true sloths. in some
maple family;a family of trees and shrubs of order sapindales including the maples
family berberidaceae;shrubs or herbs
phyllocladus;celery pine
genus cydonia;quince
genus cephalotaxus;the genus of cephalotaxus (see plum-yews)
genus orthopristis;a genus of haemulidae
fraxinus;ash
scutigera;a genus of scutigeridae
genus baphia;small genus of shrubs and lianas and trees of africa and madagascar
genus oligoplites;leatherjackets
genus gorgonocephalus;basket stars
genus caladenia;terrestrial orchids of australia to new caledonia
family pandanaceae;family of woody plants of the order pandanales including: pandanus. freycinetia
spindle tree family;trees and shrubs and woody vines usually having bright-colored fruits
solanopteris;tropical american epiphytic ferns having rhizomes with tubers and roots as well as scales
genus marattia;type genus of the marattiaceae: ferns having the sporangia fused together in two rows
genus chelonia;green turtles
genus triticum;annual cereal grasses from mediterranean area. widely cultivated in temperate regions
montia;small genus of densely tufted annual herbs. north temperate regions and south america and tropical africa and asia
stenocarpus;small genus of timber trees. australia to malaysia
family locustidae;short-horned grasshoppers. true locusts
family myctophidae;deep-sea fishes comprising the lantern fishes
vespertilionidae;the majority of common bats of temperate regions of the world
family pempheridae;sweepers
genus cymbidium;genus of tropical epiphytic or terrestrial old world orchids. one of the most popular orchid genera
family alcedinidae;kingfishers
emmanthe;1 species: yellow bells
genus stizostedion;pikeperches
genus sagina;small low-growing annual or perennial herbs of temperate and cool regions
genus lufengpithecus;a genus of hominidae
polanisia;widely distributed herbs having palmate leaves and creamy white to or pink to magenta flowers with many stamens of unequal length
genus pomatomus;type genus of the pomatomidae
macrouridae;grenadiers
arrowroot family;tropical perennial herbs with usually starchy rhizomes
coryanthes;small genus of tropical american epiphytic or lithophytic orchids
saussurea;genus of herbs of temperate and cool regions of eurasia
sciaridae;fungus gnats
genus halocarpus;dioecious trees or shrubs of new zealand. similar in habit to dacrydium
genus eurotium;a genus of fungi belonging to the order eurotiales
iridaceae;large family of usually perennial geophytic herbs with rizomes or corms or bulbs
frog s bit family;simple nearly stemless freshwater aquatic plants. widely distributed
family mammutidae;extinct family: mastodons
uria;murres
amphicarpa;very small genus of twining vines of north america and asia: hog peanut
family andrenidae;a large family of solitary short-tongued bees most of which burrow in the ground
family cordylidae;small family of spiny ovoviviparous african lizards
chamaeleonidae;old world chameleons. in some classifications rhiptoglossa is considered a superfamily of sauria
genus polybotria;tropical american ferns. usually terrestrial when young but scandent later
tenebrionidae;a family of arthropods including darkling beetles and mealworms
genus calosoma;genus of large predaceous ground beetles that feed on injurious caterpillars
genus sanvitalia;small genus of tropical american annual herbs: creeping zinnia
piranga;a genus of thraupidae
genus taurotragus;african antelopes: elands
family tridacnidae;large marine hard-shell clams
family hemerobiidae;brown lacewings
genus tolmiea;1 species: pickaback plant
genus ratibida;genus of perennial wildflowers of north american plains and prairies. often cultivated for their showy flower heads
genus maja;type genus of the majidae. nearly cosmopolitan
arabis;annual to perennial woody herbs of temperate north america, europe and asia: rockcress
genus baiomys;pygmy mice
genus hexamita;flagellates free-living or parasitic in intestines of birds
pterosauria;extinct flying reptiles: pterosaurs
genus liposcelis;a genus of psocidae
anhima;type genus of the anhimidae. horned screamers
genus zoarces;type genus of the zoarcidae
genus peripatopsis;type genus of peripatopsidae. onychophorans of chiefly asiatic and african tropical regions
tamarindus;widely cultivated tropical trees originally of africa
dipsacus;type genus of the dipsacaceae: teasel
family auriculariaceae;fungi having gelatinous sporophores
family cyatheaceae;tropical tree ferns
genus poa;chiefly perennial grasses of cool temperate regions
euglenophyta;free-swimming flagellate algae
campylorhynchus;alternative classifications for the cactus wrens
genus viverricula;a genus of viverridae
zapodidae;jumping mice
enhydra;sea otters
genus peronospora;genus of destructive downy mildews
azaleastrum;group of evergreen or deciduous shrubs formerly considered a separate genus. now included in the genus rhododendron
gerrididae;an arthropod family that includes water striders
homarus;type genus of the family homaridae: common edible lobsters
myxine;type genus of the myxinidae (typical hagfishes)
istiophoridae;sailfishes. spearfishes. marlins
genus squatina;type genus of the squatinidae: angel sharks
genus vitis;the type genus of the family vitaceae. woody vines with simple leaves and small flowers. includes a wide variety of grapes
ardea;type genus of the ardeidae: large new and old world herons
family mycoplasmatacaea;pleomorphic gram-negative nonmotile microorganism similar to both viruses and bacteria. parasitic in mammals
calandrinia;large genus of low-growing herbs. widespread throughout tropical and warm temperate regions having usually basal leaves and panicles of purplish ephemeral flowers
order juglandales;coextensive with the family juglandaceae
haemulon;type genus of the haemulidae
genus monocanthus;type genus of the monocanthidae
pygoscelis;a genus of spheniscidae
polygonia;comma butterflies
subfamily taxodiaceae;coniferous trees. traditionally considered an independent family though recently included in cupressaceae in some classification systems
dragon tree;tall tree of the canary islands. source of dragon's blood
genus oreortyx;mountain quail of western united states
family muscidae;two-winged flies esp. the housefly
genus pluvialis;golden plovers
genus melanoplus;new world migratory locusts and common american grasshoppers
ecballium;exploding cucumber. squirting cucumber
class pauropoda;an obscure class of minute arthropods with branched antennae and 8 to 10 pairs of legs
leymus;genus that in some classifications overlaps the genus elymus
genus trichomonas;flagellates parasitic in alimentary or genitourinary tracts of vertebrates and invertebrates including humans
genus echinops;genus of mediterranean and eurasian herbs: globe thistles
exaeretodon;a genus of reptiles of the division cynodontia
genus holothuria;type genus of the holothuridae
cebus;type genus of the cebidae
poephila;grassfinches
genus amianthum;1 species: fly poison. sometimes placed in family melanthiaceae
tetraodontidae;puffers
family globigerinidae;a family of protoctists
genus melogale;a genus of mustelidae
genus halesia;deciduous small trees or shrubs of china and eastern north america
pseudotaxus;one species
genus capella;snipes
oxyuridae;pinworms
eutheria;all mammals except monotremes and marsupials
genus forestiera;genus of often spiny american shrubs and trees
subclass archosauria;a large subclass of diapsid reptiles including: crocodiles. alligators. dinosaurs. pterosaurs. plesiosaurs. ichthyosaurs. thecodonts
genus helxine;1 species. a dwarf creeping mat-forming evergreen herb
family desmidiaceae;unicellular algae
nephrolepis;small genus of tropical ferns. sometimes placed in polypodiaceae
branchiostegidae;small family of marine fishes having covered gills
lens;genus of small erect or climbing herbs with pinnate leaves and small inconspicuous white flowers and small flattened pods: lentils
stegocephalia;in former classifications a division of amphibia comprising all pre-jurassic and some later extinct large salamandriform amphibia
genus musa;type genus of the musaceae: bananas
drosera;the type genus of droseraceae including many low bog-inhabiting insectivorous plants
amygdalus;used in former classifications for peach and almond trees which are now included in genus prunus
genus pyrus;fruit trees native to the old world: pears
musa;type genus of the musaceae: bananas
genus rangifer;reindeer or caribou
genus pinctada;pearl oysters
genus callistephus;1 species: erect asiatic herb with large flowers
pistacia;a dicotyledonous genus of trees of the family anacardiaceae having drupaceous fruit
genus lens;genus of small erect or climbing herbs with pinnate leaves and small inconspicuous white flowers and small flattened pods: lentils
order opuntiales;coextensive with the family cactaceae: cactuses
cycadaceae;ancient palmlike plants closely related to ferns in that fertilization is by means of spermatozoids
genus homo;type genus of the family_hominidae
genus buphthalmum;oxeye
family chelydridae;snapping turtles
genus haemodorum;type genus of family haemodoraceae
cercis;deciduous shrubs and trees of eastern asia, southern europe and the united states
lobata;ctenophore having tentacles only in the immature stage. body compressed vertically having two large oral lobes and four pointed processes
family araucariaceae;tall evergreen cone-bearing trees of south america and australia with broad leathery leaves. in some classifications included in the pinaceae
cronartium;rust fungi having aecia produced in raised or swollen sori and teliospores borne in waxy columns
family viverridae;genets. civets. mongooses
phasianus;type genus of the phasianidae: the typical pheasants
genus fregata;type genus of the fregatidae
genus plicatoperipatus;a genus of peripatidae
family albuginaceae;fungi that produce white blister-like sori on certain flowering plants
tribe bubalus;in some classification systems included in genus bos. water buffaloes
genus melampsora;rusts having sessile one-celled teliospores in a single layer
ophiuroidea;brittle stars and basket stars
loricata;former name for the order crocodylia
cruciferae;plants with four-petaled flowers
