pachytene;the third stage of the prophase of meiosis
apocalypse;a cosmic cataclysm in which god destroys the ruling powers of evil
stunner;an unexpected and amazing event: 'the stunner was what happened on saturday'
operational casualty;loss of military equipment in field operations
epilepsia major;a seizure (or a type of epilepsy characterized by such seizures) during which the patient becomes unconscious and has convulsions over the entire body
affliction;a cause of great suffering and distress
bomb;an event that fails badly or is totally ineffectual. 'the first experiment was a real turkey'. 'the meeting was a dud as far as new business was concerned'
auspice;a favorable omen
repeating;the act of repeating
blaze;a cause of difficulty and suffering. 'war is hell'. 'go to blazes'
word of god;a manifestation of the mind and will of god
systole;the contraction of the chambers of the heart (especially the ventricles) to drive blood into the aorta and pulmonary artery
battle damage;loss of military equipment in battle
waxing;a gradual increase in magnitude or extent. 'the waxing of the moon'
prophase;the first stage of meiosis
passing;euphemistic expressions for death. 'thousands mourned his passing'
trip;an accidental misstep threatening (or causing) a fall. 'he blamed his slip on the ice'. 'the jolt caused many slips and a few spills'
drubbing;a sound defeat
bombshell;a shocking surprise. 'news of the attack came like a bombshell'
takedown;(amateur wrestling) being brought to the mat from a standing position. 'a takedown counts two points'
receding;a slow or gradual disappearance
twinkle;a rapid change in brightness
flutter;the motion made by flapping up and down
act of god;a natural and unavoidable catastrophe that interrupts the expected course of events. 'he discovered that his house was not insured against acts of god'
total eclipse;an eclipse as seen from a place where the eclipsed body is completely obscured
departure;a variation that deviates from the standard or norm. 'the deviation from the mean'
little slam;winning all but one of the tricks in a hand of bridge
throwback;a reappearance of an earlier characteristic
perseverance;the act of persevering
debilitation;serious weakening and loss of energy
renascence;the revival of learning and culture
attack;a sudden occurrence of an uncontrollable condition. 'an attack of diarrhea'
climax;the highest point of anything conceived of as growing or developing or unfolding: 'the climax of the artist's career'. 'in the flood tide of his success'
revival;the coming again into activity and prominence
education;the result of good upbringing (especially knowledge of correct social behavior). 'a woman of breeding and refinement'
break;the occurrence of breaking. 'the break in the dam threatened the valley'
bust;a complete failure. 'the play was a dismal flop'
flood tide;the highest point of anything conceived of as growing or developing or unfolding: 'the climax of the artist's career'. 'in the flood tide of his success'
scene;an incident (real or imaginary). 'their parting was a sad scene'
fluke;a stroke of luck
seizure;a sudden occurrence (or recurrence) of a disease. 'he suffered an epileptic seizure'
start off;a start given to contestants. 'i was there with my parents at the kickoff'
doomsday;an unpleasant or disastrous destiny. 'everyone was aware of the approaching doom but was helpless to avoid it'
replication;the act of reproducing
time;a person's experience on a particular occasion. 'he had a time holding back the tears' or 'they had a good time together'
loss;the experience of losing a loved one. 'he sympathized on the loss of their grandfather'
beat;the rhythmic contraction and expansion of the arteries with each beat of the heart. 'he could feel the beat of her heart'
good luck;an unexpected piece of good luck. 'he finally got his big break'
secretory phase;the second half of the menstrual cycle after ovulation. the corpus luteum secretes progesterone which prepares the endometrium for the implantation of an embryo. if fertilization does not occur then menstrual flow begins
change;"an event that occurs when something passes from one state or phase to another: 'the change was intended to increase sales'. 'this storm is certainly a change for the worse'"
apoplexy;a sudden loss of consciousness resulting when the rupture or occlusion of a blood vessel leads to oxygen lack in the brain
gene mutation;a mutation due to an intramolecular reorganization of a gene
misfire;an explosion fails to occur
fatality;a death resulting from an accident or a disaster. 'a decrease in the number of automobile fatalities'
square deal;fair treatment
torment;a severe affliction
overture;"something that serves as a preceding event or introduces what follows. 'training is a necessary preliminary to employment'. 'drinks were the overture to dinner'"
periodic event;"an event that recurs at intervals"
impairment;the occurrence of a change for the worse
pulmonary embolism;blockage of the pulmonary artery by foreign matter or by a blood clot
fall;a sudden decline in strength or number or importance. 'the fall of the house of hapsburg'
primrose path;a life of ease and pleasure
obliteration;the complete destruction of every trace of something
formula;"(mathematics) a standard procedure for solving a class of problems. 'he determined the upper bound with descartes' rule of signs'. 'he gave us a general formula for attacking polynomials'"
abortion;failure of a plan
waterloo;a final crushing defeat
debacle;a sound defeat
second coming;(christian theology) the reappearance of jesus as judge for the last judgment
pandemic;an epidemic that is geographically widespread. occurring throughout a region or even throughout the world
mutilation;an injury that deprives you of a limb or other important body part
dwindling away;a becoming gradually less. 'there is no greater sadness that the dwindling away of a family'
tide;the periodic rise and fall of the sea level under the gravitational pull of the moon
betterment;a change for the better. progress in development
perseveration;the act of persevering
deformation;a change for the worse
respite;an interruption in the intensity or amount of something
trade cycle;recurring fluctuations in economic activity consisting of recession and recovery and growth and decline
setback;"an unfortunate happening that hinders of impedes. something that is thwarting or frustrating"
halt;the event of something ending. 'it came to a stop at the bottom of the hill'
revolution;a drastic and far-reaching change in ways of thinking and behaving. 'the industrial revolution was also a cultural revolution'
telophase;the final stage of meiosis when the chromosomes move toward opposite ends of the nuclear spindle
ravel;a row of unravelled stitches. 'she got a run in her stocking'
emulation;effort to equal or surpass another
ictus;a sudden occurrence (or recurrence) of a disease. 'he suffered an epileptic seizure'
allomerism;(chemistry) variability in chemical composition without variation in crystalline form
cardiac cycle;the complete cycle of events in the heart from the beginning of one heart beat to the beginning of the next. an electrical impulse in conducted through the heart muscle that constricts the atria which is followed by constriction of the ventricles. 'the cardiac cycle can be shown on an electrocardiogram'
licking;an unsuccessful ending
atmospheric static;a crackling or hissing noise cause by electrical interference
exigency;a sudden unforeseen crisis (usually involving danger) that requires immediate action. 'he never knew what to do in an emergency'
background;relatively unimportant or inconspicuous accompanying situation: 'when the rain came he could hear the sound of thunder in the background'
adrenarche;the increase in activity of the adrenal glands just before puberty
augmentation;the amount by which something increases
phase;"any distinct time period in a sequence of events. 'we are in a transitional stage in which many former ideas must be revised or rejected'"
infection;an incident is which an infectious disease is transmitted
swoon;a spontaneous loss of consciousness caused by insufficient blood to the brain
remission;an abatement in the manifestations of a disease. 'his cancer is in remission'
radio noise;static at radio wavelengths
power failure;supply of power fails
materialisation;an appearance in bodily form (as of a ghost)
bonanza;"a sudden happening that brings very good fortune"
inferior conjunction;(astronomy) the alignment of the earth and a planet on the same side of the sun
relaxation;an occurrence of control or strength weakening. 'the relaxation of requirements': 'the loosening of his grip'. 'the slackening of the wind'
fortuity;"anything that happens by chance without an apparent cause"
good fortune;a stroke of luck
cataclysm;an event resulting in great loss and misfortune. 'the whole city was affected by the irremediable calamity'. 'the earthquake was a disaster'
dud;an explosion fails to occur
combat casualty;loss of military equipment in battle
last;the concluding part of an event or occurrence: 'the end was exciting'. 'i had to miss the last of the movie'
devastation;an event that results in total destruction
recurrence;happening again (especially at regular intervals). 'the return of spring'
damage;the occurrence of a change for the worse
white leg;painful thrombosis of the femoral vein in the leg following childbirth
cause celebre;any incident that attracts great public attention
direct tide;the occurrence of high tide on one side of the earth coinciding with high tide on the opposite side
inevitable accident;a natural and unavoidable catastrophe that interrupts the expected course of events. 'he discovered that his house was not insured against acts of god'
fluctuation;an instance of change. the rate or magnitude of change
metaphase;the second stage of mitosis
knock;a bad experience. 'the school of hard knocks'
high tide;the tide when the water is highest
detriment;a damage or loss
relief;a change for the better
disembarrassment;something that extricates you from embarrassment
delivery;the event of giving birth. 'she had a difficult delivery'
miss;a failure to hit (or meet or find etc)
road to damascus;a sudden turning point in a person's life (similar to the sudden conversion of the apostle paul on the road from jerusalem to damascus of arrest christians)
conservation;an occurrence of improvement by virtue of preventing loss or injury or other change
repetition;an event that repeats. 'the events today were a repeat of yesterday's'
lessening;a change downward. 'there was a sharp drop-off in sales'
damage;loss of military equipment
good luck;a stroke of luck
turn;an unforeseen development. 'events suddenly took an awkward turn'
martyrdom;death that is imposed because of the person's adherence of a religious faith or cause
convulsion;violent uncontrollable contractions of muscles
accident;a mishap. especially one causing injury or death
substitution;an event in which one thing is substituted for another
severance;a personal or social separation (as between opposing factions). 'they hoped to avoid a break in relations'
recrudescence;a return of something after a period of abatement. 'a recrudescence of racism'
fair deal;fair treatment
taking apart;the removal of limbs. being cut to pieces
discrepancy;an event that departs from expectations
drop off;a change downward. 'there was a sharp drop-off in sales'
blow;"an unfortunate happening that hinders of impedes. something that is thwarting or frustrating"
perpetuation;the act of prolonging something. 'there was an indefinite prolongation of the peace talks'
adjustment;making or becoming suitable. adjusting to circumstances
ruination;an event that results in destruction
green revolution;the introduction of pesticides and high-yield grains and better management which greatly increased agricultural productivity
straight and narrow;the way of proper and honest behavior. 'he taught his children to keep strictly to the straight and narrow'
wound;a casualty to military personnel resulting from combat
result;the situation that exists when something ends. 'he listened for the results on the radio'
transmission;an incident is which an infectious disease is transmitted
shipwreck;an accident that destroys a ship at sea
highwater;the tide when the water is highest
shrinking;process or result of becoming less or smaller: 'the material lost 2 inches per yard in shrinkage'
algorithm;a precise rule (or set of rules) specifying how to solve some problem
ending;"an event whose occurrence ends something. 'his death marked the ending of an era'"
cycle;"an interval during which a recurring sequence of events occurs. 'the neverending cycle of the seasons'"an interval during which a recurring sequence of events occurs. 'the neverending cycle of the seasons'
flopping;the motion made by flapping up and down
sound reproduction;the reproduction of sound
day of reckoning;an unpleasant or disastrous destiny. 'everyone was aware of the approaching doom but was helpless to avoid it'
diurnal variation;fluctuations that occur during each day
fadeout;a gradual temporary loss of a transmitted signal due to electrical disturbances
dud;an event that fails badly or is totally ineffectual. 'the first experiment was a real turkey'. 'the meeting was a dud as far as new business was concerned'
accompaniment;"an event or situation that happens at the same time as or in connection with another"
renaissance;the revival of learning and culture
razing;the event of a structure being completely demolished and leveled
duplication;the act of duplicating something. 'this kind of duplication is wasteful'
development;a recent event that has some relevance for the present situation. 'recent developments in iraq'. 'what a revolting development!'
disaster;an event resulting in great loss and misfortune. 'the whole city was affected by the irremediable calamity'. 'the earthquake was a disaster'
ground noise;extraneous noise contaminating sound measurements that cannot be separated from the desired signal
coincidence;an event that might have been arranged although it was really accidental
z;the ending of a series or sequence. 'the alpha and the omega, the first and the last, the beginning and the end'--revelation
luck;an unknown and unpredictable phenomenon that causes an event to result one way rather than another. 'bad luck caused his downfall'. 'it was a chance meeting'
concentration;increase in density
discomfiture;a defeat in battle
stop;the event of something ending. 'it came to a stop at the bottom of the hill'
round;"an interval during which a recurring sequence of events occurs. 'the neverending cycle of the seasons'"an interval during which a recurring sequence of events occurs. 'the neverending cycle of the seasons'
heuristic program;a commonsense rule (or set of rules) intended to increase the probability of solving some problem
consequence;the outcome of an event especially as relative to an individual. 'that result is of no consequence'
epiphany;a divine manifestation
phase of cell division;a stage in meiosis or mitosis
train;a series of consequences wrought by an event. 'it led to a train of disasters'
rhythm;"an interval during which a recurring sequence of events occurs. 'the neverending cycle of the seasons'"an interval during which a recurring sequence of events occurs. 'the neverending cycle of the seasons'
offspring;something that comes into existence as a result. 'industrialism prepared the way for acceptance of the french revolution's various socialistic offspring'. 'this skyscraper is the solid materialization of his efforts'
capsizing;(nautical) the event of a boat accidentally turning over in the water
flare up;"a sudden violent happening. 'an outburst of heavy rain'. 'a burst of lightning'"
flashing;a short vivid experience. 'a flash of emotion swept over him'. 'the flashings of pain were a warning'
hysterics;an attack of hysteria
unavoidable casualty;a natural and unavoidable catastrophe that interrupts the expected course of events. 'he discovered that his house was not insured against acts of god'
birth;the event of being born. 'they celebrated the birth of their first child'
brake failure;brakes fail to stop a vehicle
straits;a difficult juncture. 'a pretty pass'. 'matters came to a head yesterday'
flashback;an unexpected but vivid recurrence of a past experience (especially a recurrence of the effects of an hallucinogenic drug taken much earlier)
heritage;"any attribute that passes from parent to offspring"
slackening;an occurrence of control or strength weakening. 'the relaxation of requirements': 'the loosening of his grip'. 'the slackening of the wind'
desolation;an event that results in total destruction
smash up;a serious collision (especially of motor vehicles)
reappearance;appearing again
dawn;the earliest period: 'the dawn of civilization'. 'the morning of the world'
idyll;an episode of such pastoral or romantic charm as to qualify as the subject of a poetic idyll
abatement;an interruption in the intensity or amount of something
point mutation;a mutation due to an intramolecular reorganization of a gene
war cloud;an ominous sign that war threatens
calamity;an event resulting in great loss and misfortune. 'the whole city was affected by the irremediable calamity'. 'the earthquake was a disaster'
exit;euphemistic expressions for death. 'thousands mourned his passing'
exhaustion;serious weakening and loss of energy
playback;the act of reproducing recorded sound. 'he was allowed to hear the playback of his testimony'
diplotene;the fourth stage of the prophase of meiosis
send off;a start given to contestants. 'i was there with my parents at the kickoff'
fender bender;a collision between motor vehicles that produces minor damage
headroom;the capacity of a system to reproduce loud sounds without distortion
recurrent event;"an event that recurs at intervals"
ladder;a row of unravelled stitches. 'she got a run in her stocking'
waning;a gradual decrease in magnitude or extent. 'the waning of his enthusiasm was obvious'. 'the waxing and waning of the moon'
outrage;a disgraceful event
reproduction;the act of reproducing
cycle;a periodically repeated sequence of events: 'a cycle of reprisal and retaliation'
reversal;"an unfortunate happening that hinders of impedes. something that is thwarting or frustrating"
scandal;a disgraceful event
eye opener;something surprising and revealing
improvement;a change for the better. progress in development
walloping;a sound defeat
rout;a defeat in battle
reincarnation;a second or new birth
air wave;a sound wave that is transmitted via air
miracle;"any amazing or wonderful occurrence"
wave form;the shape of a wave illustrated graphically by plotting the values of the period quantity against time
eventuality;"a possible event or occurrence or result"
sorting algorithm;an algorithm for sort a list
happy chance;an unexpected piece of good luck. 'he finally got his big break'
epileptic seizure;convulsions accompanied by impaired consciousness
luck;an unknown and unpredictable phenomenon that leads to a favorable outcome. 'it was my good luck to be there'. 'they say luck is a lady'. 'it was as if fortune guided his hand'
collision;an accident resulting from violent impact of a moving object. 'three passengers were killed in the collision'. 'the collision of the two ships resulted in a serious oil spill'
demolition;an event that destroys something
sunset;the daily event of the sun sinking below the horizon
downfall;failure that results in a loss of position or reputation
grand mal;a seizure (or a type of epilepsy characterized by such seizures) during which the patient becomes unconscious and has convulsions over the entire body
thunderclap;a shocking surprise. 'news of the attack came like a bombshell'
chance;an unknown and unpredictable phenomenon that causes an event to result one way rather than another. 'bad luck caused his downfall'. 'it was a chance meeting'
marvel;"something that causes feelings of wonder. 'the wonders of modern science'"
martyrdom;any experience that causes intense suffering
death knell;an omen of death or destruction
permutation;an event in which one thing is substituted for another
abidance;the act of abiding (enduring without yielding)
nemesis;something causes misery or death. 'the bane of my life'
morning;the earliest period: 'the dawn of civilization'. 'the morning of the world'
injury;an accident that results in physical damage or hurt
lengthening;the act of prolonging something. 'there was an indefinite prolongation of the peace talks'
flop;a complete failure. 'the play was a dismal flop'
abiotrophy;a loss of vitality and a degeneration of cells and tissues not due to any apparent injury
alignment;(astronomy) apparent meeting or passing of two or more celestial bodies in the same degree of the zodiac
prognostic;a sign of something about to happen. 'he looked for an omen before going into battle'
transition;a change from one place or state or subject or stage to another
reverse;"an unfortunate happening that hinders of impedes. something that is thwarting or frustrating"
daily variation;fluctuations that occur between one day and the next
detachment;coming apart
throbbing;an instance of rapid strong pulsation (of the heart). 'he felt a throbbing in his head'
breach;a personal or social separation (as between opposing factions). 'they hoped to avoid a break in relations'
scintillation;a rapid change in brightness
live birth;the birth of a living fetus
show;(in horse racing) a finish in third place
fitting;making or becoming suitable. adjusting to circumstances
