tightfistedness;extreme stinginess
slick;a slippery smoothness. 'he could feel the slickness of the tiller'
puritanism;strictness and austerity in conduct and religion
number;(informal) a clothing measurement: 'a number 13 shoe'
impishness;the trait of behaving like an imp
conformance;correspondence in form or appearance
scrape;an indication of damage
chauvinism;fanatical patriotism
acoustic power;the physical intensity of sound
sound pressure level;the physical intensity of sound
forte;an asset of special worth or utility. 'cooking is his forte'
impulsiveness;the trait of acting suddenly on impulse without reflection
substitutability;exchangeability by virtue of being replaceable
earnestness;the trait of being serious. 'a lack of solemnity is not necessarily a lack of seriousness'- robert rice
windage;exposure to the wind (as the exposed part of a vessel's hull which is responsible for wind resistance)
unfaithfulness;the quality of being unfaithful
strength;the power to induce the taking of a course of action or the embracing of a point of view by means of argument or entreaty. 'the strength of his argument settled the matter'
phenotype;the constitution of an organism as determined by the interaction of its genetic constitution and the environment
wiggliness;a jerky back and forth kind of mobility. 'he walked with the wiggliness of a child on high heels'
lividity;unnatural lack of color in the skin (as from bruising or sickness or emotional distress)
murderousness;cruelty evidence by a capability to commit murder
wanness;unnatural lack of color in the skin (as from bruising or sickness or emotional distress)
punctiliousness;strict attention to minute details
illogic;invalid or incorrect reasoning
elaborateness;an ornate appearance. being elaborately decorated
freakishness;marked strangeness as a consequence of being abnormal
catholicism;the beliefs and practices of a catholic church
thd;a doctor's degree in theology
evasiveness;intentionally vague or ambiguous
racketiness;characterized by loud and constant noise
strenuosity;intense energy. 'his music is characterized by a happy athleticism'
impertinence;the trait of being rude and impertinent. inclined to take liberties
nowness;the quality of being the present: 'a study of the pastness of the present and...of the presentness of the past'- r.e.spiller
sapidity;a pleasant flavor
piggishness;an excessive desire for food
brazenness;behavior marked by a bold defiance of the proprieties and lack of shame
imperativeness;urgently demanding attention. 'the insistence of their hunger'. 'he pressed his demand with considerable instancy'
sound reflection;the persistence of a sound after its source has stopped
chirpiness;cheerful and lively
complication;puzzling complexity
pathos;a quality that arouses emotions (especially pity or sorrow). 'the film captured all the pathos of their situation'
harmony;an agreeable sound property
curability;capability of being cured or healed
dphil;a british doctorate
prussian blue;a dark greenish-blue color
earmark;a distinctive characteristic or attribute
womanliness;the trait of being womanly. having the characteristics of an adult female
nuisance value;the quality of an embarrassing situation. 'he sensed the awkwardness of his proposal'
delicacy;the quality of being beautiful and delicate in appearance. 'the daintiness of her touch'. 'the fineness of her features'
precipitance;the quality of happening with headlong haste or without warning
excitableness;being easily excited
balkiness;likely to stop abruptly and unexpectedly
high spiritedness;exuberant liveliness
perniciousness;grave harmfulness or deadliness
refulgency;the quality of being bright and sending out rays of light
hotness;a hot spiciness
mercy;a disposition to be kind and forgiving. 'in those days a wife had to depend on the mercifulness of her husband'
decision;the trait of resoluteness as evidenced by firmness of character or purpose. 'a man of unusual decisiveness'
desirability;the quality of being worthy of desiring
form;a particular mode in which something is manifested. 'his resentment took the form of extreme hostility'
laziness;inactivity resulting from a dislike of work
incorruption;characterized by integrity or probity
macumba;a brazilian religious cult of african origin. combines voodoo elements with singing a chanting and dancing
bottomlessness;the property of being very deep. without limit
plausibleness;apparent validity
finish;a decorative texture or appearance of a surface. 'the boat had a metallic finish'
progressivity;advancement toward better conditions or policies or methods
torpidness;inactivity resulting from torpidity and lack of vigor or energy
regular recurrence;recurring at regular intervals. 'the rhythm of the seasons'
sternness;uncompromising resolution
avarice;extreme greed for material wealth
force;(of a law) having legal validity. 'the law is still in effect'
extraction;properties attributable to your ancestry. 'he comes from good origins'
awkwardness;the quality of an embarrassing situation. 'he sensed the awkwardness of his proposal'
lightness;the visual effect of illumination on objects or scenes as created in pictures. 'he could paint the lightest light and the darkest dark'
charisma;a personal attractiveness that enables you to influence others
respectfulness;courteous regard for people's feelings. 'in deference to your wishes'. 'out of respect for his privacy'
immenseness;unusual largeness in size or extent
commonness;the quality of lacking taste and refinement
delicacy;lightness in movement or manner
statecraft;wisdom in the management of public affairs
plainness;an appearance that is not attractive or beautiful. 'fine clothes could not conceal the girl's homeliness'
attraction;the quality of arousing interest. being attractive or something that attracts. 'her personality held a strange attraction for him'
buddhism;the ethical philosophy of buddha. emphasizes physical and spiritual discipline as a means of liberation from the physical world
jerkiness;the quality of being spasmodic and irregular
book value;the value at which an asset is carried on a balance sheet. equals cost minus accumulated depreciation
infidelity;the quality of being unfaithful
hutzpa;aggressive boldness or unmitigated effrontery. 'he had the audacity to question my decision'
inattentiveness;the trait of not being considerate and thoughtful of others
instability;the quality or attribute of being unstable
gallantry;courtesy towards women
temporal order;arrangement of events in time
clumsiness;the carriage of someone whose movements and posture are ungainly or inelegant
derivation;inherited properties shared with others of your bloodline
outsize;an unusual garment size (especially one that is very large)
immoderation;the quality of being excessive and lacking in moderation
fingerprint;a smudge made by a (dirty) finger
order;a degree in a continuum of size or quantity. 'it was on the order of a mile'. 'an explosion of a low order of magnitude'
monetary standard;the value behind the money in a monetary system
brittleness;firm but easily broken
antecedence;preceding in time
posture;characteristic way of bearing one's body: 'stood with good posture'
karyotype;the appearance of the chromosomal makeup of a somatic cell in an individual or species (including the number and arrangement and size and structure of the chromosomes)
extent;the distance over which something extends
triviality;the quality of being unimportant and petty or frivolous
briefness;the attribute of being brief or fleeting
error;inadvertent incorrectness
austerity;the trait of great self-denial (especially refraining from worldly pleasures)
slipperiness;a slippery smoothness. 'he could feel the slickness of the tiller'
spark;brightness and animation of countenance. 'he had a sparkle in his eye'
enthusiasm;overflowing with enthusiasm
cool;the quality of being cool: 'the cool of early morning'
decisiveness;the trait of resoluteness as evidenced by firmness of character or purpose. 'a man of unusual decisiveness'
evenness;the quality of being balanced
prodigality;the trait of spending extravagantly
immediateness;the quickness of action or occurrence. 'the immediacy of their response'. 'the instancy of modern communication'
intangibility;the quality of being intangible
fuchsia;a dark purple-red. the dye was discovered in 1859, the year of the battle of magenta
viridity;the property of being green. resembling the color of growing grass
undependableness;the trait of not being dependable or reliable
compassion;the humane quality of understanding the suffering of others and wanting to do something about it
jauntiness;stylishness as evidenced by a smart appearance
marginal cost;the increase or decrease in costs as a result of one more or one less unit of output
patness;timely convenience
disparateness;utter dissimilarity
titre;the concentration of a solution as determined by titration
cigarette burn;a burn mark left by a smoldering cigarette. 'a cigarette burn on the edge of the table'
law degree;degree conferred on someone who successfully completes law school
look;the expression on a person's face. 'a sad expression'. 'a look of triumph'. 'an angry face'
airs;affected manners intended to impress others. 'don't put on airs with me'
modesty;formality and propriety of manner
thriftiness;frugality in the expenditure of money or resources. 'the scots are famous for their economy'
tightness;lack of movement or room for movement
gruffness;a throaty harshness
moral excellence;the quality of doing what is right and avoiding what is wrong
unstableness;the quality or attribute of being unstable
leeway;a permissible difference
jejunity;the quality of being vapid and unsophisticated
