antitrust law;legislation intended to promote free competition in the market place by outlawing monopolies
vaishnavism;worship of vishnu one of the 3 chief gods of the hindu pantheon
profoundness;wisdom that is recondite and abstruse and profound. 'the anthropologist was impressed by the reconditeness of the native proverbs'
thought image;a mental image produced by the imagination
unknowing;ignorance (especially of orthodox beliefs)
reliving;a recurrence of a prior experience. 'the reliving of a strong emotion can be therapeutic'
value;an ideal accepted by some individual or group. 'he has old-fashioned values'
logicism;the philosophical theory that all of mathematics can be derived from formal logic
faith;a strong belief in a supernatural power or powers that control human destiny. 'he lost his faith but not his morality'
moorish architecture;a style of architecture common in spain from the 13th to 16th centuries. characterized by the horseshoe (moorish) arch
aristotelianism;the philosophy of aristotle that elaborates the fundamental principles of the syllogism
unenlightenment;a lack of understanding
amoralism;the doctrine that moral distinctions are invalid
variety;a category of things distinguished by some common characteristic or quality. 'sculpture is a form of art'. 'what kinds of desserts are there?'
feeling;a vague idea in which some confidence is placed. 'his impression of her was favorable'. 'what are your feelings about the crisis?'. 'it strengthened my belief in his sincerity'
unitarianism;christian doctrine that stresses individual freedom of belief and rejects the trinity
fallacy;a misconception resulting from incorrect reasoning
prepossession;an opinion formed without adequate evidence. 'he did not even try to confirm his preconceptions'
realism;the philosophical doctrine that abstract concepts exist independent of their names
example;something to be imitated. 'an exemplar of success'. 'a model of clarity'. 'he is the very model of a modern major general'
manner;a kind. 'what manner of man are you?'
tudor architecture;a style of english-gothic architecture popular during the tudor period. characterized by half-timbered houses
pentecostalism;the principles and practices of pentecostal religious groups. characterized by religious excitement and talking in tongues
abstract;a concept or idea not associated with any specific instance. 'he loved her only in the abstract--not in person'
wishful thinking;the illusion that what you wish for is actually true
souvenir;a reminder of past events
spiritual world;a belief that there is a realm controlled by a divine spirit
philosophical theory;a doctrine accepted by adherents to a philosophy
type;a subdivision of a particular kind of thing. 'what type of sculpture do you prefer?'
anglo catholicism;a doctrine and practice within the church of england emphasizing the catholic tradition
perception;the representation of what is perceived. basic component in the formation of a concept
feminism;a doctrine that advocates equal rights for women
pragmatism;the doctrine that practical consequences are the criteria of knowledge and meaning and value
shinto;the indigenous polytheistic religion of japan lacking organized teachings. primarily nature and ancestor worship including a chief deity from whom the emperor is believed to be descended
aftertaste;an afterimage of a taste
culture;all the knowledge and values shared by a society
judgment;an opinion formed by judging something. 'he was reluctant to make his judgment known'. 'she changed her mind'
field;the area that is visible through an optical instrument
religious cult;a system of religious beliefs and rituals
mysticism;a religion based on mystical communion with an ultimate reality
norman architecture;a romanesque style first appearing in normandy around 950 ad and used in britain from the norman conquest until the 12th century
deja vu;the experience of thinking that a new situation had occurred before
nationalism;the conviction that the culture and interests of your nation are superior to those of any other nation
field of regard;all of the points of the physical environment that can be perceived by a stable eye at a given moment
zen buddhism;doctrine that enlightenment can be attained through direct intuitive insight
tenet;a religious doctrine that is proclaimed as true without proof
visualization;a mental image that is similar to a visual perception
paganism;any of various religions other than christianity or judaism or islamism
mainstream;the prevailing current of thought. 'his thinking was in the american mainstream'
mazdaism;system founded in persia in the 6th century b.c. by zoroaster. set forth in the zend-avesta. based on concept of struggle between light (good) and dark (evil)
gospel;a doctrine that is believed to be of great importance. 'newton's writings were gospel for those who followed'
mental representation;a presentation to the mind in the form of an idea or image
humanitarianism;the doctrine that people's duty is to promote human welfare
hobbyhorse;a topic to which on constantly reverts: 'don't get him started on his hobbyhorse'
darkness;an unenlightened state. 'he was in the dark concerning their intentions'. 'his lectures dispelled the darkness'
values;beliefs of a person or social group in which they have an emotional investment (either for or against something). 'he has very conservatives values'returns things in order as multiple values.
disillusion;freeing from false belief or illusions
virgin birth;the theological doctrine that jesus christ had no human father. christians believe that jesus's birth fulfilled old testament prophecies and was attended by miracles. the nativity is celebrated at christmas
ecclesiasticism;religion appropriate to a church and to ecclesiastical principles and practices
heathenism;any of various religions other than christianity or judaism or islamism
thought;a personal belief that is not founded on proof or certainty. 'my opinion differs from yours'. 'what are your thoughts on haiti?'
fixation;an unhealthy preoccupation with something or someone
islamism;the monotheistic religion of muslims based on the koran
conclusion;a position or opinion or judgment reached after consideration: 'a decision unfavorable to the opposition'. 'his conclusion took the evidence into accout'. 'satisfied with the panel's determination'
internationalism;the doctrine that nations should cooperate because their common interests are more important than their differences
memento;a reminder of past events
diabolism;the worship of devils (especially satan)
sonata form;a musical form having 3 sections -- exposition and development and recapitulation. characteristic of 1st movement of a sonata or symphony
international law;the body of laws governing relations between nations
belief;any cognitive content held as true
immaculate conception;the roman catholic doctrine that the virgin mary was conceived without any stain of original sin
hinduism;a complex of beliefs and values and customs including worship of many gods especially the trimurti composed of brahma the creator. vishnu the preserver. and shiva the destroyer
reconditeness;wisdom that is recondite and abstruse and profound. 'the anthropologist was impressed by the reconditeness of the native proverbs'
eisegesis;personal interpretation of a text (especially of the bible) using your own ideas
data;"a collection of facts from which conclusions may be drawn. 'statistical data'"
experience;the content of direct observation or participation in an event. 'he had a religious experience'. 'he recallled the experience vividly'
familiarization;the experience of becoming familiar with something
variation;something a little different from others of the same type. 'an experimental version of the night fighter'. 'an emery wheel is a modern variant of the grindstone'
adventism;any christian religion that believes the second coming of christ is imminent
visual percept;a percept that arises from the eyes. an image in the visual system
idealism;the doctrine that ideas are the only reality
law of the land;a phrase used in the magna carta to refer to the then established law of the kingdom (as distinct from roman or civil law). today it refers to fundamental principles of justice commensurate with due process (the us constitution establishes itself as 'the supreme law of the land')
jansenism;the roman catholic doctrine of cornelis jansen and his disciples. salvation is limited to those who are subject to supernatural determinism and the rest are assigned to perdition
islam;the monotheistic religion of muslims based on the koran
precept;a doctrine that is taught. 'the teaching of religion'. 'he believed all the christian precepts'
shamanism;an animistic religion of northern asia having the belief that the mediation between the visible and the spirit worlds is effected by shamans
stereotype;a conventional or formulaic conception or image: 'regional stereotypes have been part of america since its founding'
nature worship;a system of religion that deifies and worships natural forces and phenomena
perpendicular style;a gothic style in 14th and 15th century england. characterized by vertical lines, a four-centered (tudor) arch, fan vaulting
formalism;the doctrine that formal structure rather than content is what should be represented
abolitionism;the doctrine that calls for the abolition of slavery
originalism;the belief that the us constitution should be interpreted in the way the authors originally intended it
tantra;doctrine of enlightenment as the realization of the oneness of one's self and the visible world. combines elements of hinduism and paganism including magical and mystical elements like mantras and mudras and erotic rites. especially influential in tibet
pabulum;intellectual sustenance
good example;something to be imitated. 'an exemplar of success'. 'a model of clarity'. 'he is the very model of a modern major general'
revivalism;an attempt to reawaken the evangelical faith
irridentism;the doctrine that irredenta should be controlled by the country to which they are ethnically or historically related
monism;the doctrine that reality consists of a single basic substance or element
preoccupation;an idea that preoccupies the mind and holds the attention
idea;a personal view. 'he has an idea that we don't like him'
unknowingness;ignorance (especially of orthodox beliefs)
utilitarianism;doctrine that the useful is the good especially as elaborated by jeremy bentham and james mill the aim being the greatest happiness for of greatest number
nescience;ignorance (especially of orthodox beliefs)
lamaism;tibetan buddhist doctrine including non-buddhist indian elements and elements of preexisting shamanism
3d;having a three-dimentional form or appearance: 'aren't dreams always in 3-d?'
politics;the opinion you hold with respect to political questions
quackerism;doctrine characterized by opposition to war and rejection of ritual and a formal creed and an ordained ministry
federal job safety law;a law passed by us congress to prevent employees from being injured or contracting diseases in the course of their employment
protestantism;the theological system of any of the churches of western christendom that separated from the roman catholic church during the reformation
mercantile law;the body of rules applied to commercial transactions. derived from the practices of traders rather than from jurisprudence
perpendicular;a gothic style in 14th and 15th century england. characterized by vertical lines, a four-centered (tudor) arch, fan vaulting
drift;general meaning or tenor: 'caught the drift of the conversation'
vaisnavism;worship of vishnu one of the 3 chief gods of the hindu pantheon
tabu;a prejudice (especially in polynesia and other s pacific islands) that prohibits the use or mention of something because of its sacred nature
abstrusity;wisdom that is recondite and abstruse and profound. 'the anthropologist was impressed by the reconditeness of the native proverbs'
interpretation;a mental representation of the meaning or significance of something
implication;a meaning that is not expressly stated but can be inferred. 'the significance of his remark became clear only later'. 'the expectation was spread both by word and by implication'
trinitarianism;christian doctrine stressing belief in the trinity
unbelief;a rejection of belief
black art;the belief in magical spells that harness occult forces or evil spirits to produce unnatural effects in the world
mohammedanism;the monotheistic religion of muslims based on the koran
misunderstanding;an understanding of something that is not correct. 'he wasn't going to admit his mistake'. 'make no mistake about his intentions'. 'there must be some misunderstanding--i don't have a sister'
muhammadanism;the monotheistic religion of muslims based on the koran
promise;grounds for feeling hopeful about the future. 'there is little or no promise that he will recover'
freak out;a wild delusion (especially one induced by a hallucinogenic drug)
pacifism;the belief that all international disputes can be settled by arbitration
nihilism;a revolutionary doctrine that advocates destruction of the social system for its own sake
pantheism;belief in multiple gods
view;a personal belief that is not founded on proof or certainty. 'my opinion differs from yours'. 'what are your thoughts on haiti?'
imagination image;a mental image produced by the imagination
dualism;the doctrine that reality consists of two basic opposing elements, often taken to be mind and matter (or mind and body), or good and evil
majority rule;the doctrine that the numerical majority of an organized group can make decisions binding on the whole group
high anglicanism;a doctrine and practice within the church of england emphasizing the catholic tradition
sophistication;uplifting enlightenment
methodism;the religious beliefs and practices of methodists characterized by concern with social welfare and public morals
presbyterianism;the doctrines and practices of the presbyterian church: based in calvinism
exegesis;critical interpretation of a text (especially of the bible)
law merchant;the body of rules applied to commercial transactions. derived from the practices of traders rather than from jurisprudence
hinayana;one of two great schools of buddhist doctrine emphasizing personal salvation through one's own efforts. chiefly in sri_lanka (ceylon). myanmar (burma). thailand. cambodia
stage effect;a special effect created on the stage
millenarianism;belief in the christian doctrine of the millennium mentioned in the book of revelations
superstitious notion;an irrational belief arising from ignorance or fear
memory trace;a postulated biochemical change (presumably in neural tissue) that represents a memory
hang up;(informal) an emotional preoccupation
standard;the ideal in terms of which something can be judged. 'they live by the standards of their community'
stoicism;the philosophical system of the stoics following the teachings of the ancient greek philosopher zeno
effect;an impression (especially one that is artificial or contrived). 'he just did it for effect'
anabaptism;belief in: the primacy of the bible. baptism of believers not infants. complete separation of church and state
conjury;invoking a spirit or devil
gothic;a style of architecture developed in n france that spread throughout europe between the 12th and 16th centuries. characterized by slender vertical piers and counterbalancing buttresses and by vaulting and pointed arches
existentialist philosophy;a 20th-century philosophical movement. assumes that people are entirely free and thus responsible for what they make of themselves
flavor;(high energy physics) the kinds of quarks
way;a general category of things. used in the expression 'in the way of': 'they didn't have much in the way of clothing'
public knowledge;"knowledge that is available to anyone"
coast;the area within view. 'the coast is clear'
philosophical doctrine;a doctrine accepted by adherents to a philosophy
legislation;a law enacted by a legislative body
humanism;the doctrine that people's duty is to promote human welfare
vocabulary;"a language user's knowledge of words"
false belief;a misconception resulting from incorrect reasoning
pathetic fallacy;the fallacy of attributing human feelings to inanimate objects. 'the friendly sun' is an example of the pathetic fallacy
preemption;the judicial principle asserting the supremacy of federal over state legislation on the same subject
creationism;the literal belief in the account of creation given in the book of genesis. 'creationism denies the theory of evolution of species'
antinomianism;the theological doctrine that by faith and god's grace a christian is freed from all laws (including the moral standards of the culture)
formalism;the philosophical theory that formal (logical or mathematical) statements have no meaning but that its symbols (regarded as physical entities) exhibit a form that has useful applications
logical positivism;the form of empiricism that bases knowledge on perceptual experience
jumble;a theory or argument made up of miscellaneous or incongruous ideas
romanism;the beliefs and practices of the catholic church based in rome
testament;a profession of belief. 'he stated his political testament'
figure;a unitary percept having structure and coherence that is the object of attention and that stands out against a ground
memento mori;a reminder of your mortality
daoism;philosophical system developed by of lao-tzu and chuang-tzu advocating a simple honest life and noninterference with the course of natural events
deconstruction;a philosophical theory of criticism (usually of literature or film) that seeks to expose deep-seated contradictions in a work by delving below its surface meaning
ignorance;the lack of knowledge or education
belief;a vague idea in which some confidence is placed. 'his impression of her was favorable'. 'what are your feelings about the crisis?'. 'it strengthened my belief in his sincerity'
jus sanguinis;the principle that a person's nationality at birth is the same as that of his natural parents
pluralism;the doctrine that reality consists of several basic substances or elements
satanism;the worship of devils (especially satan)
nativity;the theological doctrine that jesus christ had no human father. christians believe that jesus's birth fulfilled old testament prophecies and was attended by miracles. the nativity is celebrated at christmas
incarnation;the christian doctrine of the union of god and man in the person of jesus christ
exorcism;freeing from evil spirits
bewitchment;a magical spell
idea;the content of cognition. the main thing you are thinking about. 'it was not a good idea'. 'the thought never entered my mind'
case law;(civil law) a law established by following earlier judicial decisions
cognitive content;"the sum or range of what has been perceived, discovered, or learned"
byzantinism;the doctrine that the state is supreme over the church in ecclesiastical matters
unorthodoxy;a belief that rejects the orthodox tenets of a religion
physicalism;the doctrine that matter is the only reality
memory image;a mental image of something previously experienced
erroneous belief;a misconception resulting from incorrect information
inexperience;lack of experience and the knowledge and understanding derived from experience
gothic architecture;a style of architecture developed in n france that spread throughout europe between the 12th and 16th centuries. characterized by slender vertical piers and counterbalancing buttresses and by vaulting and pointed arches
glimpse;a brief or incomplete view. 'from the window he could catch a glimpse of the lake'
naturalism;the doctrine that the world can be understood in scientific terms without recourse to spiritual or supernatural explanations
jus soli;the principle that a person's nationality at birth is determined by the place of birth
bauhaus;a german style of architecture begun by walter gropius in 1918
amateurism;the conviction that people should participate in sports as a hobby (for the fun of it) rather than for money
version;a mental representation of the meaning or significance of something
scene;the visual percept of a region. 'the most desirable feature of the park are the beautiful views'
opinion;a belief or sentiment shared by most people. the voice of the people. 'he asked for a poll of public opinion'
3 d;having a three-dimentional form or appearance: 'aren't dreams always in 3-d?'
religious belief;a strong belief in a supernatural power or powers that control human destiny. 'he lost his faith but not his morality'
notion;a whimsical idea. 'the theatrical notion of disguise is associated with disaster in his stories'
scepticism;the disbelief in any claims of ultimate knowledge
hindooism;a complex of beliefs and values and customs including worship of many gods especially the trimurti composed of brahma the creator. vishnu the preserver. and shiva the destroyer
synergism;the theological doctrine that salvation results from the interaction of human will and divine grace
tractarianism;principles of the founders of the oxford movement. expounded in pamphlets called 'tracts for the times'
church doctrine;the body of teachings of a religious group that are generally accepted by that group
administrative law;the body of rules and regulations and orders and decisions created by administrative agencies of government
phantasmagoria;a constantly changing medley or real or imagined images (as in a dream)
equalitarianism;the doctrine of the equality of mankind and the desirability of political and economic and social equality
existentialism;a 20th-century philosophical movement. assumes that people are entirely free and thus responsible for what they make of themselves
heart;the locus of feelings and intuitions. 'in your heart you know it is true'. 'her story would melt your bosom'
specter;a mental representation of some haunting experience. 'he looked like he had seen a ghost'. 'it aroused specters from his past'
variant;something a little different from others of the same type. 'an experimental version of the night fighter'. 'an emery wheel is a modern variant of the grindstone'
concept;an abstract or general idea inferred or derived from specific instances
arianism;the theological doctrine taught by arius that christ the son was not consubstantial with god the father
bosom;the locus of feelings and intuitions. 'in your heart you know it is true'. 'her story would melt your bosom'
voyeurism;preoccupation with seeing sex acts or sex organs of others
representation;a presentation to the mind in the form of an idea or image
brahmanism;the religious beliefs of ancient india as prescribed in the sacred vedas and brahmanas and upanishads
credo;any system of principles or beliefs
jurisprudence;"the collection of rules imposed by authority. 'civilization presupposes respect for the law'"
profundity;wisdom that is recondite and abstruse and profound. 'the anthropologist was impressed by the reconditeness of the native proverbs'
irrational hostility;extreme prejudice
deism;the form of theological rationalism that believes in god on the basis of reason without reference to revelation
nicene creed;a formal creed summarizing christian beliefs
cult;a system of religious beliefs and rituals
enlightenment;education that results in understanding and the spread of knowledge
ignoratio elenchi;the fallacy of supposing that an argument proving an irrelevant point has proved the point at issue
dark;an unenlightened state. 'he was in the dark concerning their intentions'. 'his lectures dispelled the darkness'
crossroads;a point where a choice must be made. 'freud's work stands at the crossroads between psychology and neurology'
theism;the doctrine or belief in the existence of a god or gods
scruple;an ethical or moral principle that inhibits action
muslimism;the monotheistic religion of muslims based on the koran
real presence;the christian doctrine that the body of christ is actually present in the eucharist
witchery;the art of sorcery
appearance;a mental representation. 'i tried to describe his appearance to the police'
persuasion;a personal belief that is not founded on proof or certainty. 'my opinion differs from yours'. 'what are your thoughts on haiti?'
whimsy;a whimsical idea. 'the theatrical notion of disguise is associated with disaster in his stories'
construct;an abstract or general idea inferred or derived from specific instances
preconceived idea;an opinion formed without adequate evidence. 'he did not even try to confirm his preconceptions'
determination;a position or opinion or judgment reached after consideration: 'a decision unfavorable to the opposition'. 'his conclusion took the evidence into accout'. 'satisfied with the panel's determination'
raw data;unanalyzed data. data not yet subjected to analysis
eastern catholicism;the beliefs and practices of any of the eastern catholic churches based in constantinople
parseeism;zoroastrian sect in india
anticipation;something expected (as on the basis of a norm). 'each of them had their own anticipations'. 'an indicator of expectancy in development'
aftersensation;an image (usually a negative image) that persists after stimulation has ceased
background;the part of a scene (or picture) that lies behind objects in the foreground. 'he posed her against a background of rolling hillls'
eyes;opinion or judgment. 'in the eyes of the law' or 'i was wrong in her eyes'
enchantment;a magical spell
mirage;something illusory and unattainable
phantasy;something many people believe that is false. 'they have the illusion that i am very wealthy'
ilk;a kind of person. 'i don't like people of his ilk'
overlap;a representation of common ground between theories or phenomena. 'there was no overlap between their proposals'
determinism;a philosophical doctrine holding that all events are inevitable consequences of antecedent sufficient causes. often understood as denying the possibility of free will
flying saucer;an (apparently) flying object whose nature is unknown. especially those considered to have extraterrestrial origins
scholarship;profound knowledge
imitation;the doctrine that representations of nature or human behavior should be accurate imitations
individualism;a belief in the importance of the individual and the virtue of self-reliance and personal independence
undercurrent;subdued emotional quality underlying an utterance. implicit meaning
schema;an internal representation of the world. an organization of concepts and actions that can be revised by new information about the world
lexicon;"a language user's knowledge of words"
mimesis;the imitative representation of nature and human behavior in art and literature
statutory law;the body of laws created by legislative statutes
english gothic;a gothic style in 14th and 15th century england. characterized by vertical lines, a four-centered (tudor) arch, fan vaulting
predestination;(theology) the doctrine (usually associated with calvin) that god has foreordained every event throughout eternity (including the final salvation of mankind)
mithraism;ancient persian religion. popular among romans during first three centuries a.d.
foreground;the part of a scene that is near the viewer
maritime law;the traditional body of rules and practices relating to commerce and navigation or to business transacted at sea or to general maritime affairs
subjectivism;the doctrine that knowledge and value are dependent on and limited by your subjective experience
notion;a vague idea in which some confidence is placed. 'his impression of her was favorable'. 'what are your feelings about the crisis?'. 'it strengthened my belief in his sincerity'
whim;a whimsical idea. 'the theatrical notion of disguise is associated with disaster in his stories'
vox populi;a belief or sentiment shared by most people. the voice of the people. 'he asked for a poll of public opinion'
information;"a collection of facts from which conclusions may be drawn. 'statistical data'"
education;knowledge acquired by learning and instruction. 'it was clear that he had a very broad education'
religion;a strong belief in a supernatural power or powers that control human destiny. 'he lost his faith but not his morality'
recollection;something recalled to the mind
animalism;the doctrine that human beings are purely animal in nature and lacking a spiritual nature
species;a specific kind of something: 'a species of molecule'. 'a species of villainy'
reading;a mental representation of the meaning or significance of something
convergence;a representation of common ground between theories or phenomena. 'there was no overlap between their proposals'
law of nations;the body of laws governing relations between nations
disbelief;a rejection of belief
view;the visual percept of a region. 'the most desirable feature of the park are the beautiful views'
semiotics;a philosophical theory of the functions of signs and symbols
error;a misconception resulting from incorrect information
fundamentalism;the interpretation of every word in the bible as literal truth
unilateralism;the doctrine that nations should conduct their foreign affairs individualistically without the advice or involvement of other nations
psychosexuality;the mental representation of sexual activities
free thought;the form of theological rationalism that believes in god on the basis of reason without reference to revelation
expansionism;the doctrine of expanding the territory or the economic influence of a country
humanism;the doctrine emphasizing a person's capacity for self-realization through reason. rejects religion and the supernatural
secularism;a doctrine that rejects religion and religious considerations
astrology;a pseudoscience claiming divination by the positions of the planets and sun and moon
concrete representation;a representation of an abstract idea in concrete terms
gospel;the body of teachings of a religious group that are generally accepted by that group
supernaturalism;a belief in forces beyond ordinary human understanding
version;something a little different from others of the same type. 'an experimental version of the night fighter'. 'an emery wheel is a modern variant of the grindstone'
panorama;the visual percept of a region. 'the most desirable feature of the park are the beautiful views'
thing in itself;the intellectual conception of a thing as it is in itself, not as it is known through perception
control condition;a standard against which other conditions can be compared in a scientific experiment. 'the control condition was inappropriate for the conclusions he wished to draw'
congregationalism;system of beliefs and church government of a protestant denomination in which each member church is self-governing
byzantine;the style of architecture developed in the byzantine empire. massive domes with square bases and rounded arches and spires and minarets and much use of mosaics
black magic;the belief in magical spells that harness occult forces or evil spirits to produce unnatural effects in the world
three d;having a three-dimentional form or appearance: 'aren't dreams always in 3-d?'
front;the outward appearance of a person. 'he put up a bold front'
hodgepodge;a theory or argument made up of miscellaneous or incongruous ideas
juju;the power associated with a juju
