alum;a white crystalline double sulfate of aluminum: the ammonium double sulfate of aluminum
selenium;a toxic nonmetallic element related to sulfur and tellurium. occurs in several allotropic forms. a stable gray metallike allotrope conducts electricity better in the light than in the dark and is used in photocells. occurs in sulfide ores (as pyrite)
aluminium bronze;a copper-aluminum alloy with high tensile strength and resistance to corrosion
plasticine;a synthetic material resembling clay but remaining soft. used as a substitute for clay or wax in modeling (especially in schools)
carbamide;the chief solid component of mammalian urine. synthesized from ammonia and carbon dioxide and used as fertilizer and in animal feed and in plastics
mucin;a nitrogenous substance found in mucous secretions. a lubricant that protects body surfaces
perboric acid;a form of boric acid
epoxy;a thermosetting resin. used chiefly in strong adhesives and coatings and laminates
vinegar;dilute acetic acid
insectifuge;a chemical substance that repels insects
iodoamino acid;an amino acid with iodine added
gum accroides;an alcohol-soluble resin from australian trees. used in varnishes and in manufacturing paper
ag;a soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal. occurs in argentite and in free form. used in coins and jewelry and tableware and photography
pt;a heavy precious metallic element. gray-white and resistant to corroding. occurs in some nickel and copper ores and is also found native in some deposits
atomic number;a very poisonous metallic element that has three allotropic forms. arsenic and arsenic compounds are used as herbicides and insecticides and various alloys. found in arsenopyrite and orpiment and realgar
corrosive sublimate;a white poisonous soluble crystalline sublimate of mercury. used as a pesticide or antiseptic or wood preservative
sal ammoniac;a white salt used in dry cells
myoglobin;the form of hemoglobin found in muscle fibers
atomic number;a silvery malleable metallic element that resists corrosion. used in many alloys and to coat other metals to prevent corrosion. obtained chiefly from cassiterite where it occurs as tin oxide
insect repellent;a chemical substance that repels insects
leaf lard;fat lining the abdomen and kidneys in hogs which is used to make lard
bordeaux wine;any of several red or white wines produced around bordeaux in france or resembling such wines
low fat milk;milk from which some of the cream has been removed
ruthenium;a rare polyvalent metallic element of the platinum group. it is found associated with platinum
booze;distilled rather than fermented
thymol;a colorless crystalline solid used in perfume or preserving biological specimens or in embalming or medically as a fungicide or antiseptic
afterdamp;a toxic mixture of gases (including carbon dioxide and carbon monoxide and nitrogen) after an explosion of firedamp in a mine
coal tar creosote;a dark oily liquid obtained by distillation of coal tar. used as a preservative for wood
pearl sago;sago ground into small pearl-like grains
atomic number;a radioactive metallic_element that is similar to tellurium and bismuth. occurs in uranium ores but can be produced by bombarding bismuth with neutrons in a nuclear reactor
fulminate;a salt or ester of fulminic acid
orange soda;orange-flavored carbonated drink
ice pack;a large expanse of floating ice
gamma globulin;a protein fraction of human blood plasma containing numerous antibodies
ku;a radioactive transuranic element which has been synthesized
furan;a colorless toxic flammable liquid used in the synthesis of nylon
atomic number;a radioactive transuranic element synthesized from californium
messenger rna;the form of rna that carries information from dna in the nucleus to the ribosome sites of protein synthesis in the cell
gallic acid;a colorless crystalline acid obtained from tannin
bog;wet spongy ground of decomposing vegetation. has poorer drainage than a swamp. soil is unfit for cultivation but can be cut and dried and used for fuel
alanine;a crystalline amino acid that occurs in many proteins
fixed oil;nonvolatile animal or plant oil
atomic number;a white metallic element that burns with a brilliant light. the fifth most abundant element in the earth's crust. an important component of most plants and animals
cream soda;sweet carbonated drink flavored with vanilla
blanc fixe;a white insoluble radiopaque powder used as a pigment
monoxide;an oxide containing just one atom of oxygen in the molecule
unnilpentium;a transuranic element that has not been found in nature
copper sulphate;a copper salt made by the action of sulfuric acid on copper oxide
eureka;a copper-nickel alloy with high electrical resistance and a low temperature coefficient. used as resistance wire
branch water;pure natural water from a stream or brook. often distinguished from soda water
lipide;any oily organic compound insoluble in water but soluble in organic solvents. essential structural component of living cells (along with proteins and carbohydrates)
zr;a lustrous gray strong metallic element resembling titanium. it is used in nuclear reactors as a neutron absorber. it occurs in baddeleyite but is obtained chiefly from zircon
polymer;naturally occurring or synthetic. consisting of large molecules made up of a linked series of repeated simple monomers
ergosterol;a plant sterol that is converted into vitamin d by ultraviolet radiation
dichloride;a compound containing two chlorine atoms per molecule
imide;any of a class of organic compounds that contain the divalent radical -conhco-
brew;drink made by steeping and boiling and fermenting rather than distilling
soft drink;nonalcoholic beverage (usually carbonated)
washing soda;a sodium salt of carbonic acid. used in making soap powders and glass and paper
fluid;"a continuous amorphous substance that tends to flow and to conform to the outline of its container: a liquid or a gas"
animal fat;any fat obtained from animals
shark liver oil;a fatty yellow to brown oil obtained from the livers of sharks. used for dressing leather and as a source of vitamin a
hydrocyanic acid;a weak poisonous acid (hcn) used in fumigating and in synthesis of organic compounds
blood glucose;glucose in the bloodstream
polyfoam;a foam made by adding water to polyurethane plastics
depilatory;a chemical (usually a sulfide) used to remove hair or wool or bristles from hides
cesium;a soft silver-white ductile metallic element (liquid at normal temperatures). the most electropositive and alkaline metal
wood vinegar;a red-brown liquid formed in distillation of wood which contains acetic acid, methanol, acetone, wood oils, and tars
isocyanic acid;an acid known only in the form of its esters
phenyl salicylate;a white powder with a pleasant taste and odor. used to absorb light in sun tan lotions or as a preservative or an antiseptic or a coating for pills in which the medicine is intended for enteric release
turkish coffee;drink made from pulverized coffee beans. usually sweetened
club soda;effervescent beverage artificially charged with carbon dioxide
atomic number;a hard brittle blue-gray or blue-black metallic element that is one of the platinum metals. the heaviest metal known
caustic lime;a caustic substance (ca(oh)2) produced by heating limestone
intoxicant;a liquor or brew containing alcohol as the active agent. 'alcohol (or drink) ruined him'
acetone body;any of three compounds (acetoacetic acid, acetone, and/or beta-hydroxybutyric acid) found in excess in blood and urine of persons with metabolic disorders
indelible ink;ink that cannot be erased or washed away
aluminum;a silvery ductile metallic element found primarily in bauxite
bock;strong dark beer brewed in the fall and aged through the winter for spring consumption
hydrochloric acid;an aqueous solution of hydrogen chloride. a strongly corrosive acid
labdanum;a soft blackish-brown resinous exudate from various rockroses used in perfumes especially as a fixative
salicylate;a salt of salicylic acid (including several commonly used drugs)
c;an abundant nonmetallic tetravalent element occurring in three allotropic forms: amorphous carbon and graphite and diamond. occurs in all organic compounds
gasolene;a volatile flammable mixture of hydrocarbons (hexane and heptane and octane etc.) derived from petroleum. used mainly as a fuel in internal-combustion engines
chromium steel;steel containing chromium that makes it resistant to corrosion
hypochlorite;any salt or ester of hypochlorous acid
rye;distilled from rye or rye and malt
inessential amino acid;amino acid that can be synthesized by the organism and are not required in the diet
peptone;any of various water-soluble compounds that form by hydrolysis in the digestion of proteins to amino acids
strawberry daiquiri;daiquiri with crushed strawberries
bufferin;aspirin coated with a substance capable of neutralizing acid (trade name bufferin)
propyl alcohol;a clear colorless volatile liquid (alcohol) used as a solvent and antiseptic
anisette de bordeaux;liquorice-flavored usually colorless sweet liqueur made from aniseed
guanine;a purine base found in dna and rna. pairs with cytosine
glutamate;a salt or ester of glutamic acid
carbon monoxide;an odorless very poisonous gas that is a product of incomplete combustion of carbon
iron;a heavy ductile magnetic metallic element. is silver-white in pure form but readily rusts. used in construction and tools and armament. plays a role in the transport of oxygen by the blood
glogg;scandinavian punch made of claret and aquavit with spices and raisins and orange peel and sugar
butylene;any of three isomeric hydrocarbons c4h8. all used in making synthetic rubbers
stearin;an ester of glycerol and stearic acid
ammonia alum;a white crystalline double sulfate of aluminum: the ammonium double sulfate of aluminum
styrene;a colorless oily liquid. the monomer for polystyrene
polyurethane;any of various polymers containing the urethane radical. a wide variety of synthetic forms are made and used as adhesives or plastics or paints or rubber
defoliant;a chemical that is sprayed on plants and causes their leaves to fall off
myrrh;aromatic resin used in perfume and incense
polyose;any of a class of carbohydrates whose molecules contain chains of monosaccharide molecules
may wine;moselle and sugar and sparkling water or champagne flavored with sweet woodruff
digitalis glycoside;a powerful cardiac stimulant obtained from foxglove
polyvinyl resin;a thermoplastic derived by polymerization from compounds containing the vinyl group
terbium metal;a separate group of related lanthanides, including terbium, europium, gadolinium, and sometimes dysprosium
liquor;a liquid substance that is a solution (or emulsion or suspension) used or obtained in an industrial process. 'waste liquors'
methyl phenol;any of three poisonous colorless isomeric phenols. derived from coal or wood tar. used as a disinfectant
gold;a soft yellow malleable ductile (trivalent and univalent) metallic element. occurs mainly as nuggets in rocks and alluvial deposits. does not react with most chemicals but is attacked by chlorine and aqua regia
calcium chloride;a deliquescent salt. used in de-icing and as a drying agent
electrolyte acid;dilute sulfuric acid used in storage batteries
phosphoprotein;containing chemically bound phosphoric acid
al;a silvery ductile metallic element found primarily in bauxite
pr;a soft yellowish-white trivalent metallic element of the rare earth group. can be recovered from bastnasite or monazite by an ion-exchange process
margarin;a glyceryl ester of margaric acid
cupronickel;a 60/40 alloy of copper and nickel
japan tallow;a yellow wax obtained from sumac berries. used in polishes
plaster;any of several gypsum cements. a white powder (a form of calcium sulphate) that forms a paste when mixed with water and hardens into a solid. used in making molds and sculptures and casts for broken limbs
aspirin powder;a powdered form of aspirin
pentose;any monosaccharide sugar containing five atoms of carbon per molecule
sago;powdery starch from certain sago palms. used in asia as a food thickener and textile stiffener
attar of roses;a volatile fragrant oil obtained from fresh roses by steam distillation
sardine oil;oil obtained from sardines and used chiefly as a lubricant and in soap
hydrated oxide;a compound of an oxide with water
liquor;distilled rather than fermented
mn;a hard brittle gray polyvalent metallic element that resembles iron but is not magnetic. used in making steel. occurs in many minerals
bourbon;distilled from a mash of corn and malt and rye and aged in charred oak barrels
atomic number;a heavy precious metallic element. gray-white and resistant to corroding. occurs in some nickel and copper ores and is also found native in some deposits
phenol;a toxic white soluble crystalline acidic derivative of benzene. used in manufacturing and as a disinfectant and antiseptic
liquid air;air in a liquid state
chlorine dioxide;an explosive gas (clo2) used chiefly in bleaching paper or starch or soap or flour and in water purification
calcium phosphate;a phosphate of calcium. a main constituent of animal bones
hydroxy acid;any acid that has hydroxyl groups in addition to the hydroxyl group in the acid itself
atomic number;a soft silvery metallic element of the alkali earth group. found in barite
ink;a liquid used for printing or writing or drawing
tetrachloride;any compound that contains four chlorine atoms per molecule
fish oil;oil obtained from fish
claret cup;a punch made of claret and brandy with lemon juice and sugar and sometimes sherry or curacao and fresh fruit
crucible steel;steel made by the mixture of molten wrought iron, charcoal, and other substances in a crucible
methylated spirits;ethyl alcohol denatured with methyl alcohol to prevent its use as an alcoholic beverage
thiazine;a compound made up of a ring of four carbon atoms and one sulfur atom and one nitrogen atom
galvanized iron;iron that is coated with zinc to protect it from rust
dichromic acid;the hypothetical acid (h2cr2o7) from which dichromates are derived. known only in solution and in the form of dichromate salts
hahnium;a transuranic element that has not been found in nature
goose grease;grease derived from geese
whiskey sour;a sour made with whiskey
breath;the air that is inhaled and exhaled in respiration. 'his sour breath offended her'
congo gum;copal found usually as a fossil
sonora gum;acidulous gum resin of the creosote bush
carbon black;a black colloidal substance consisting wholly or principally of amorphous carbon and used to make pigments and ink
zn;a bluish-white lustrous metallic element. brittle at ordinary temperatures but malleable when heated. used in a wide variety of alloys and in galvanizing iron. it occurs as zinc sulphide in zinc blende
zinfandel;dry fruity red wine from california
ephedrine;white odorless powdered or crystalline alkaloid from plants of the genus ephedra (especially ephedra sinica) or made synthetically. used to treat allergies and asthma
ytterbium;a soft silvery metallic element. a rare earth of the lanthanide series. it occurs in gadolinite and monazite and xenotime
organic compound;any compound of carbon and another element or a radical
pop;a sweet drink containing carbonated water and flavoring. 'in new england they call sodas tonics'
atomic number;a rare soft silvery metallic element. occurs in small quantities in sphalerite
flowers of zinc;oxide of zinc. a white powder used as a pigment or in cosmetics or glass or inks and in zinc ointment
atomic number;a metallic element having four allotropic forms. used in a wide variety of alloys. found in stibnite
palm oil;oil from nuts of oil palms especially the african oil palm
paraffin wax;from crude petroleum. used for candles and for preservative or waterproof coatings
empirin;an analgesic anti-inflammatory drug (trade names bayer and empirin) usually taken in tablet form. also used as an antipyretic
menhaden oil;a fatty oil obtained from the menhaden fish and used in paint and ink and in treating leather
phosphoric acid;an acid used in fertilizers and soaps: h3po4
ardent spirits;strong distilled liquor or brandy
threonine;a colorless crystalline amino acid that occurs in the hydrolysates of certain proteins. an essential component of human nutrition
pernod;anise- and licorice-flavored liqueur
caprylic acid;a fatty acid having a rancid taste. found in butter and other fats and oils
cohune oil;semisolid fat from nuts of the cohune palm. used in cooking and soap making
iodin;a nonmetallic element belonging to the halogens. used especially in medicine and photography and in dyes. occurs naturally only in combination in small quantities (as in sea water or rocks)
absinthe;strong green liqueur flavored with wormwood and anise
animal oil;any oil obtained from animal substances
polystyrene;a polymer of styrene. a rigid transparent thermoplastic. 'expanded polystyrene looks like a rigid white foam and is used as packing or insulation'
hexane;a colorless flammable liquid alkane derived from petroleum and used as a solvent
flintstone;pebbles of flint used in masonry construction
strong drink;distilled rather than fermented
tetrafluoroethylene;a flammable gaseous fluorocarbon used in making plastics (polytetrafluoroethylene resins)
glycerine;a glyceryl ester obtained by saponification of fats and oils
lactalbumin;albumin occurring in milk
pinot blanc;dry white california table wine made from white pinot grapes
wine;fermented juice (of grapes especially)
smelling salts;a pungent preparation of ammonium carbonate and perfume. sniffed as a stimulant to relieve faintness
babacu oil;fatty oil from kernels of babassu nuts similar to coconut oil
malt whisky;whiskey distilled in scotland. especially whiskey made from malted barley in a pot still
salicylic acid;a white crystalline substance with a bitter aftertaste. used as a fungicide or in making aspirin or dyes or perfumes
pd;a sliver-white metallic element of the platinum group that resembles platinum. occurs in some copper and nickel ores. does not tarnish at ordinary temperatures and is used (alloyed with gold) in jewelry
lanolin;a yellow viscous animal oil extracted from wool. a mixture of fatty acids and esters. used in some ointments and cosmetics
atomic number;a white hard metallic element that is one of the platinum group and is found in platinum ores. used in alloys with platinum
linalool;a colorless fragrant liquid found in many essential oils
eau de javelle;an aqueous solution of sodium hypochlorite
spike lavender oil;pale yellow essential oil obtained from spike lavender used in scenting soaps and cosmetics
globulin;a family of proteins found in blood and milk and muscle and in plant seed
ammonia;a water solution of ammonia
propylthiouracil;a crystalline compound used as an antithyroid drug in the treatment of goiter
digitalis;a powerful cardiac stimulant obtained from foxglove
antitoxin;an antibody that can neutralize a specific toxin
atomic number;a trivalent metallic element of the rare earth group. occurs with yttrium
iced tea;strong tea served over ice
cellulose;a polysaccharide that is the chief constituent of all plant tissues and fibers
ferricyanide;salt of ferricyanic acid obtained by oxidation of a ferrocynide
strontium;a soft silver-white or yellowish metallic element of the alkali metal group. turns yellow in air. occurs in celestite and strontianite
polyamide;a polymer containing repeated amide groups
brimstone;an old name for sulfur
lime;a white crystalline oxide used in the production of calcium hydroxide
atomic number;a silvery metallic element that is common in rare-earth minerals. used in magnesium and aluminum alloys
greensward;surface layer of ground containing a matt of grass and grass roots
atomic number;a silvery soft waxy metallic element of the alkali metal group. occurs abundantly in natural compounds (especially in salt water). burns with a yellow flame and reacts violently in water. occurs in sea water and in the mineral halite (rock salt)
canavanine;an amino acid found in the jack bean
gold dust;the particles and flakes (and sometimes small nuggets) of gold obtained in placer mining
cobalt;a hard ferromagnetic silver-white bivalent or trivalent metallic element. a trace element in plant and animal nutrition
polythene;a lightweight thermoplastic. used especially in packaging and insulation
dessert wine;still sweet wine often served with dessert or after a meal
iodotyrosine;tyrosine with iodine added
titania;a white powder used as a pigment for its high covering power and durability
austenitic manganese steel;a steel with a relatively large component (10-14%) of manganese. highly resistant to wear and shock
unslaked lime;a white crystalline oxide used in the production of calcium hydroxide
blowing gas;the gas leaving a generator during a blow period
digitalin;a powerful cardiac stimulant obtained from foxglove
serum albumin;albumin occurring in blood serum. serves to maintain the somatic pressure of the blood
diamond;very hard native crystalline carbon valued as a gem
trace element;an element that occurs at very small quantities in the body but is nonetheless important for many biological processes
grand marnier;french liqueur: orange-flavored brandy
sodium hydride;a flammable gray crystalline compound (nah)
w;a heavy gray-white metallic element. the pure form is used mainly in electrical applications. it is found in several ores including wolframite and scheelite
tannin;any of various complex phenolic substances of plant origin. used in tanning and in medicine
petroleum;a dark oil consisting mainly of hydrocarbons
benzene formula;a closed chain of 6 carbon atoms with hydrogen atoms attached
gum benjamin;gum resin used especially in treating skin irritation
sherry;dry to sweet amber wine from the jerez region of southern spain or similar wines produced elsewhere. usually drunk as an aperitif
bitters;alcoholic liquor flavored with bitter herbs and roots
hydrogen bromide;a colorless gas that yields hydrobromic acid in solution with water
calcium stearate;an insoluble calcium salt of stearic acid and palmitic acid. it is formed when soap is mixed with water that contains calcium ions and is the scum produced in regions of hard water
lutetium;a trivalent metallic element of the rare earth group. usually occurs in association with yttrium
benzoate;any salt or ester of benzoic acid
myosin;the commonest protein in muscle. a globulin that combines with actin to form actomyosin
gimlet;gin or vodka and lime juice
oligosaccharide;any of the carbohydrates that yield only a few monosaccharide molecules on complete hydrolysis
hydrated lime;a caustic substance (ca(oh)2) produced by heating limestone
nada daiquiri;daiquiri made without alcohol
sandarac;a brittle and faintly aromatic translucent resin used in varnishes
saccharose;a complex carbohydrate found in many plants and used as a sweetening agent
potassium carbonate;a white salt (k2co3) that is basic in solution. used to make glass and cleansing agents
kauri copal;resin of the kauri trees of n zealand. found usually as a fossil. also collected for making varnishes and linoleum
bilge water;water accumulated in the bilge of a ship
hooch;an illicitly distilled (and usually inferior) alcoholic liquor
orthoboric acid;a white or colorless slightly acid solid that is soluble in water and ethanol. used in the manufacture of glass and paper and adhesives and in detergents and as a flux in welding. also used as an antiseptic and food preservative
polyphosphoric acid;a series of oxyacids of phosphorus
cholic acid;an insoluble crystalline acid present in bile
silicone;any of a large class of siloxanes that are unusually stable over a wide range of temperatures. used in lubricants and adhesives and coatings and synthetic rubber and electrical insulation
saltpeter;(kno3) used especially as a fertilizer and explosive
ammonium alum;a white crystalline double sulfate of aluminum: the ammonium double sulfate of aluminum
silver nitrate;a nitrate used in making photographic emulsions. also used in medicine as a cautery and as a topical anti-infective agent
mixed drink;made of two or more ingredients
nitrogen dioxide;a highly poisonous gas
cholesterol;an animal sterol that is normally synthesized by the liver. the most abundant steroid in animal tissue. a high level in the blood is thought to be related to various pathogenic conditions
intropin;a monoamine neurotransmitter found in the brain. as a drug (trade names dopastat and intropin) it is used to treat shock and hypotension
cesium;a radioactive isotope of cesium used in radiation therapy
acrylic resin;a glassy thermoplastic. can be cast and molded or used in coatings and adhesives
bromine;a nonmetallic largely pentavalent heavy volatile corrosive dark brown liquid element belonging to the halogens. found in sea water
marsh;low-lying wet land with grassy vegetation. usually is a transition zone between land and water
bichromate;a salt of the hypothetical dichromic acid
adenine;purine base found in dna and rna. pairs with thymine in dna and with uracil in rna
es;a radioactive transuranic element produced by bombarding plutonium with neutrons
carbamate;a salt (or ester) of carbamic acid
malabar kino;reddish or black juice or resin from certain trees of the genus pterocarpus and used in medicine and tanning etc
soybean oil;oil from soya beans
scleroprotein;a simple protein found in horny and cartilaginous tissues and in the lens of the eye
anime;a hard copal derived from an african tree
sour;a liquor (especially whiskey or gin) mixed with lemon or lime juice and sugar
br;a nonmetallic largely pentavalent heavy volatile corrosive dark brown liquid element belonging to the halogens. found in sea water
triple sec;type of curacao having higher alcoholic content
snake oil;any of various liquids sold as medicine (as by a travelling medicine show) but medically worthless
rare earth;any element of the lanthanide series (atomic numbers 57' through 71')
sodium iodide;a crystalline salt used like potassium iodide
saltpetre;(kno3) used especially as a fertilizer and explosive
cyanide;any of a class of organic compounds containing the cyano radical -cn
cyclohexanol phthalate;the cyclohexanol ester of phthalic acid
atomic number;a colorless odorless inert gaseous element occurring in the earth's atmosphere in trace amounts
alnico;an alloy used to make high-energy permanent magnets. contains aluminum and iron and nickel plus cobalt or copper or titanium
sperm oil;an animal oil found in the blubber of the sperm whale
resorcinol;a crystalline phenol obtained from various resins
perfect gas;a hypothetical gas with molecules of negligible size that exert no intermolecular forces
enamel;a colored glassy compound (opaque or partially opaque) that is fused to the surface of metal or glass or pottery for decoration or protection
hyoscine;an alkaloid with anticholinergic effects that is used as a sedative and to treat nausea and to dilate the pupils in ophthalmic procedures. 'transdermal scopolamine is used to treat motion sickness'. 'someone sedated with scopolamine has difficulty lying'
diol;any of a class of alcohols having 2 hydroxyl groups in each molecule
shellac wax;a hard wax separated from shellac by its insolubility in alcohol
creatin;a compound that is found in the muscle tissue of vertebrates. supplies energy for muscle contraction
acrylate resin;a glassy thermoplastic. can be cast and molded or used in coatings and adhesives
brass;an alloy of copper and zinc
cafe au lait;equal parts of coffee and hot milk
accroides resin;an alcohol-soluble resin from australian trees. used in varnishes and in manufacturing paper
glycolic acid;a translucent crystalline compound found in sugar cane and sugar beets and unripe grapes
monosaccharide;a simple sugar (like sucrose or fructose) that does not hydrolyse to give other sugars. the simplest group of carbohydrates
chianti;dry red italian table wine from the chianti region of tuscany
invar;(trademark) an alloy of iron and nickel having a low coefficient of thermal expansion. used in tuning forks and measuring tapes and other instruments
fluoroboride;a salt of fluoroboric acid
oil of vitriol;(h2so4) a highly corrosive acid made from sulfur dioxide. widely used in the chemical industry
spirits of wine;rectified ethyl alcohol
pyrophosphoric acid;a solid acid formed by reactions of orthophosphoric acid
atmosphere;"the mass of air surrounding the earth. 'there was great heat as the comet entered the atmosphere'"
compound protein;a protein complex combining amino acids with other substances
crazy glue;(trademark) a commercial brand of epoxy glue
dope;carbonated drink flavored with extract from kola nuts ('dope' is a southernism in the united states)
tribasic acid;an acid containing three replaceable hydrogen atoms per molecule
orange liqueur;liqueur flavored with orange
fluosilicic acid;an unstable poisonous corrosive acid know primarily in the form of its salts
nipa;made from sap of the australasian nipa palm
oxime;any compound containing the group -c=noh
atomic number;a light strong brittle gray toxic bivalent metallic element
coca cola;coca_cola is a trademarked cola
marking ink;an indelible ink for marking clothes or linens etc.
ribose;a pentose sugar important as a component of ribonucleic acid
near beer;drink that resembles beer but with less than 1/2 percent alcohol
ilang ilang;oil distilled from flowers of the ilang-ilang tree. used in perfumery
sauvignon blanc;a california wine
tributyrin;a bitter oily triglyceride of butyric acid. a form of butyrin
ni hard iron;cast iron to which nickel has been added to make it resist abrasion
tetrasaccharide;any of a variety of carbohydrates that yield four monosaccharide molecules on complete hydrolysis
cellulose triacetate;slow-burning. used instead of celluloid for motion-picture film
liquid;a substance that is liquid at room temperature and pressure
flaxseed oil;a drying oil extracted from flax seed and used in making such things as oil paints
fr;a radioactive element of the alkali-metal group discovered as a disintegration product of actinium
uranium;a uranium isotope with mass number 235. capable of sustaining chain reactions
mercuric chloride;a white poisonous soluble crystalline sublimate of mercury. used as a pesticide or antiseptic or wood preservative
glycoside;a group of compounds derived from monosaccharides
amylum;a complex carbohydrate found chiefly in seeds, fruits, tubers, roots and stem pith of plants, notably in corn, potatoes, wheat, and rice. an important foodstuff and used otherwise especially in adhesives and as fillers and stiffeners for paper and textiles
calcium nitrate;a deliquescent salt (ca(no3)2) that is soluble in water. sometimes used as a source of nitrogen in fertilizers
ni resist;cast iron consisting of graphite in a matrix of austenite
liqueur;strong highly flavored sweet liquor usually drunk after a meal
ice tea;strong tea served over ice
rainwater;drops of fresh water that fall as precipitation from clouds
cobalt;a radioactive isotope of cobalt with mass number 60. a source of exceptionally intense gamma rays. used in radiation therapy
toluic acid;an isomeric acid derived from toluene
jaggery;unrefined brown sugar made from palm sap
ne;a colorless odorless gaseous element that give a red glow in a vacuum tube. one of the six inert gasses. occurs in the air in small amounts
soda water;a sweet drink containing carbonated water and flavoring. 'in new england they call sodas tonics'
elixir;a substance believed to cure all ills
atomic number;a light silver-white ductile bivalent metallic element. in pure form it burns with brilliant white flame. occurs naturally only in combination (as in magnesite and dolomite and carnallite and spinel and olivine)
silver bromide;a bromide that darkens when exposed to light. used in making photographic emulsions
hydrazine;a colorless fuming corrosive liquid. used chiefly in rocket fuels
firewater;(informal) any strong spirits (such as strong whisky or rum)
sodium carboxymethyl cellulose;a gummy substance that is a sodium salt of carboxymethyl cellulose. used as a thickening or emulsifying agent
ammonium nitrate;used as an explosive and fertilizer and rocket propellant
atomic number;a radioactive transuranic element. discovered by bombarding americium with helium
plaster of paris;any of several gypsum cements. a white powder (a form of calcium sulphate) that forms a paste when mixed with water and hardens into a solid. used in making molds and sculptures and casts for broken limbs
bicarbonate;a salt of carbonic acid in which one hydrogen atom has been replaced. an acid carbonate
compound;"(chemistry) a substance formed by chemical union of two or more elements or ingredients in definite proportion by weight"
spill;liquid that is spilled. 'clean up the spills'
transuranic element;any element having an atomic number greater than 92' (the atomic number of uranium). all are radioactive
adenosine;(biochemistry) a nucleoside that is present in all living cells in a combined form. a constituent of dna and rna and atp and amp
tin;a silvery malleable metallic element that resists corrosion. used in many alloys and to coat other metals to prevent corrosion. obtained chiefly from cassiterite where it occurs as tin oxide
britannia metal;an alloy similar to pewter
pewter;any of various alloys of tin with small amounts of other metals (especially lead)
kummel;liqueur flavored with caraway seed or cumin
rochelle salts;a double salt used in seidlitz powder. acts as a cathartic
furfuraldehyde;a liquid aldehyde with a penetrating odor. made from plant hulls and corn cobs. used in making furan and as a solvent
petrochemical;any compound obtained from petroleum or natural gas
cinder pig;pig iron containing a substantial proportion of slag
scopolamine;an alkaloid with anticholinergic effects that is used as a sedative and to treat nausea and to dilate the pupils in ophthalmic procedures. 'transdermal scopolamine is used to treat motion sickness'. 'someone sedated with scopolamine has difficulty lying'
admiralty brass;alpha-beta brass containing tin. resistant to sea water. admiralty metal is a trademark
fructose;a simple sugar found in honey and in many ripe fruits
sulphanilic acid;a crystalline acid made from aniline and used as a dye
potash;a potassium compound often used in agriculture and industry
copra oil;oil from coconuts
ferrocyanic acid;(h4fe(cn)6), a white unstable acid formed from ferrocyanide salts
carbonate;a salt or ester of carbonic acid
pyrimidine;a heterocyclic organic compound with a penetrating odor
tallow oil;an animal oil obtained by pressing tallow. used as a lubricant
hard water;water that contains salts that prevent the formation of lather with soap
calcium carbonate;a salt found in nature as chalk or calcite or limestone
poteen;unlawfully distilled irish whiskey
artificial blood;a liquid that can carry large amounts of oxygen and can serve as a temporary substitute for blood
yb;a soft silvery metallic element. a rare earth of the lanthanide series. it occurs in gadolinite and monazite and xenotime
bdellium;aromatic gum resin. similar to myrrh
writing ink;any permanent or washable ink used with pens
glyceride;an ester of glycerol and fatty acids that occurs naturally as fats and fatty oils
