biophysics;physics as applied to biological problems
universe of discourse;"everything stated or assumed in a given discussion"
endocrinology;the branch of medicine dealing with the endocrine glands and their secretions
linear programming;a mathematical technique used in economics. finds the maximum or minimum of linear functions in many variables subject to constraints
biotechnology;the branch of molecular biology that studies the use of microorganisms to perform specific industrial processes. 'biotechnology produced genetically altered bacteria that solved the problem'
prosody;the study of poetic meter and the art of versification
economic geology;the branch of geology that deals with economically valuable geological materials
myology;the branch of physiology that studies muscles
positive correlation;a correlation in which large values of one variable are associated with large values of the other and small with small. the correlation coefficient is between 0 and +1
negative correlation;a correlation in which large values of one variable are associated with small values of the other. the correlation coefficient is between 0 and -1
pharmaceutics;the art and science of preparing and dispensing drugs and medicines,
thermodynamics;the branch of physics concerned with the conversion of different forms of energy
linear regression;the relation between variables when the regression equation is linear: e.g., y = ax + b
zoology;the branch of biology that studies animals
garbology;the study of a society by analyzing its garbage
mathematics;a science (or group of related sciences) dealing with the logic of quantity and shape and arrangement
branch of knowledge;"a branch of knowledge. 'in what discipline is his doctorate?'. 'teachers should be well trained in their subject'. 'anthropology is the study of human beings'"
triboloby;the branch of engineering that deals with the interaction of surfaces in relative motion (as in bearings or gears): their design and friction and wear and lubrication
hyperbolic geometry;a non-euclidean geometry in which it is assumed that through any point there are two or more parallel lines that do not intersect a given line in the plane
rhetoric;study of the technique and rules for using language effectively (especially in public speaking)
orthopaedics;the branch of surgery concerned with disorders or deformities of the spine and joints
projective geometry;the geometry of properties that remain invariant under projection
aeronautics;the theory and practice of navigation through air or space
multiple regression;a statistical technique that predicts values of one variable on the basis of two or more other variables
cardiology;the branch of medicine dealing with the heart and its diseases
physics;the science of matter and energy and their interactions
coordinate geometry;the use of algebra to study geometric properties. operates on symbols defined in a coordinate system
topic;"some situation or event that is thought about. 'he kept drifting off the topic'. 'he had been thinking about the subject for several years'. 'it is a matter for the police'"
psychometrics;any branch of psychology concerned with psychological measurements
comparative psychology;the branch of psychology concerned with the behavior of animals
palaeoclimatology;the study of the climate of past ages
eschatology;the branch of theology that is concerned with such final things as death and judgment. heaven and hell. the end of the world
transcendentalism;any system of philosophy emphasizing the intuitive and spiritual above the empirical and material
res adjudicata;a matter already settled in court. cannot be raised again
psychological science;the science of mental life
plate tectonics;the branch of geology studying the folding and faulting of the earth's crust
space medicine;the branch of medicine concerned with the effects of space flight on human beings
configurationism;an approach to psychology that emphasizes the importance of configurational properties
sinology;the study of chinese history and language and culture
engineering;the discipline dealing with the art or science of applying scientific knowledge to practical problems. 'he had trouble deciding which branch of engineering to study'
epigraphy;the study of ancient inscriptions
morphology;the branch of geology that studies the characteristics and configuration and evolution of rocks and land forms
axiology;the study of values and value judgments
protozoology;the branch of zoology that studies protozoans
classics;study of the literary works of ancient greece and rome
histology;the branch of biology that studies the microscopic structure of animal or plant tissues
dialectic;any formal system of reasoning that arrives at the truth by the exchange of logical arguments
linguistics;the scientific study of language
deixis;the function of pointing or specifying from the perspective of a participant in an act of speech or writing. aspects of a communication whose interpretation depends on knowledge of the context in which the communication occurs
mycology;the branch of botany that studies fungi
recombinant dna technology;the technology of preparing recombinant dna in vitro by cutting up dna molecules and splicing together fragments from more than one organism
associationism;theory that association is the basic principle of mental activity
probabilism;a roman catholic system of casuistry that when expert opinions differ an actor can follow any solidly probable opinion that he wishes even though some different opinion might be more probable
genomics;the branch of genetics that studies organisms in terms of their genomes (their full dna sequences)
onomastics;the branch of lexicology that studies the origins and history of proper names
catoptrics;branch of optics dealing with formation of images by mirrors
derivational morphology;the part of grammar that deals with the derivations of words
geometry;the pure mathematics of points and lines and curves and surfaces
micropaleontology;the paleontology of microfossils
geology;a science that deals with the history of the earth as recorded in rocks
criminology;the scientific study of crime and criminal behavior and law enforcement
geomorphology;the branch of geology that studies the characteristics and configuration and evolution of rocks and land forms
euclidean geometry;geometry based on euclid's axioms: e.g., only one line can be drawn through a point parallel to another line
strategy;the branch of military science dealing with military command and the planning and conduct of a war
climatology;meteorology of climates and their phenomena
embryology;the branch of biology that studies the formation and early development of living organisms
paleodendrology;the branch of paleobotany that studies fossil trees
celestial mechanics;the branch of astronomy concerned with the application of newton's laws of motion to the motions of heavenly bodies
english;the discipline that studies the english language and literature
astronomy;the branch of physics that studies celestial bodies and the universe as a whole
study;"a branch of knowledge. 'in what discipline is his doctorate?'. 'teachers should be well trained in their subject'. 'anthropology is the study of human beings'"
protoanthropology;the study humans prior to the invention of writing
nonparametric statistics;the branch of statistics dealing with variables without making assumptions about the parameters of their distribution
archaeology;the branch of anthropology that studies prehistoric people and their cultures
exodontia;the branch of dentistry dealing with extraction of teeth
hydrostatics;study of the mechanical properties of fluids that are not in motion
wave mechanics;the modern form of quantum theory. an extension of of quantum mechanics based on schrodinger's equation. atomic events are explained as interactions between particle waves
theology;the rational and systematic study of religion and its influences and of the nature of religious truth
cosmology;the branch of astrophysics that studies the origins and structure of the universe
metaknowledge;"knowledge about knowledge"
urology;the branch of medicine that deals with the diagnosis and treatment of disorders of the urinary tract or urogenital system
bioremediation;the branch of biotechnology that uses biological process to overcome environmental problems
genetics;the branch of biology that studies heredity and variation in organisms
cosmogony;the branch of astrophysics that studies the origins and structure of the universe
behaviourism;an approach to psychology that emphasizes observable measurable behavior
etymology;the study of the sources and development of words
child psychology;the branch of psychology that studies the social and mental development of children
dialect geography;the study of the geographical distribution of linguistic features
geographics;study of the earth's surface. includes people's responses to topography and climate and soil and vegetation
limnology;the scientific study of bodies of fresh water for their biological and physical and geological properties
nuclear engineering;the branch of engineering concerned with the design and construction and operation of nuclear reactors
paleoanthropology;the scientific study of human fossils
bionics;application of biological principals to the study and design of engineering systems (especially electronic systems)
trig;the mathematics of triangles and trigonometric functions
applied math;the branches of mathematics that are involved in the study of of the physical or biological or sociological world
sociolinguistics;the study of language in relation to its sociocultural context
aviation medicine;the study and treatment of disorders associated with flight (especially with space flight)
scientific knowledge;"any domain of knowledge accumulated by systematic study and organized by general principles. 'mathematics is important for science'"
palaeobotany;the study of fossil plants
rectilinear regression;the relation between variables when the regression equation is linear: e.g., y = ax + b
correlational analysis;the use of statistical correlation to evaluate the strength of the relations between variables
civics;the social science of municipal affairs
rocketry;the branch of engineering science that studies rocket design and operation
phonology;the study of the sound system of a given language and the analysis and classification of its phonemes
haematology;the branch of medicine that deals with diseases of the blood and blood-forming organs
transcendental philosophy;any system of philosophy emphasizing the intuitive and spiritual above the empirical and material
solid state physics;the branch of physics that studies the properties of materials in the solid state: electrical conduction in crystals of semiconductors and metals. superconductivity. photoconductivity
ee;the branch of engineering science that studies the uses of electricity and the equipment for power generation and distribution and the control of machines and communication
oceanography;the branch of science dealing with physical and biological aspects of the oceans
linguistics;the humanistic study of language and literature
curvilinear regression;the relation between variables when the regression equation is nonlinear (quadratic or higher order)
sociology;the study and classification of human societies
agrology;science of soils in relation to crops
magnetohydrodynamics;the study of the interaction of magnetic fields and electrically conducting fluids (as plasma or molten metal)
therapeutics;branch of medicine concerned with the treatment of disease
physiology;the branch of the biological sciences dealing with the functioning of organisms
subject;"some situation or event that is thought about. 'he kept drifting off the topic'. 'he had been thinking about the subject for several years'. 'it is a matter for the police'"
experimental psychology;the branch of psychology that uses experimental methods to study psychological issues
teratology;the branch of biology concerned with the development of malformations or serious deviations from the normal type of organism
descriptive linguistics;an explanation of a person's mastery of their native language
atomic physics;the branch of physics that studies the internal structure of atomic nuclei
region;"a knowledge domain that you are interested in or are communicating about. 'it was a limited domain of discourse'. 'here we enter the region of opinion'. 'the realm of the occult'"
riemannian geometry;a non-euclidean geometry that regards space is like a sphere and a line is a great circle
paleopathology;the study of disease of former times (as inferred from fossil evidence)
fossilology;the branch of archeology that studies fossil organisms and related remains
folklore;the unwritten literature (stories and proverbs and riddles and songs) of a culture
neoclassicism;a revival of the classical style in art or literature
biological science;the science that studies living organisms
medical science;the science of dealing with the maintenance of health and the prevention and treatment of disease
frontier;an undeveloped field of study. a topic inviting research and development. 'he worked at the frontier of brain science'
neuroanatomy;the anatomy of the nervous system
uranology;the branch of physics that studies celestial bodies and the universe as a whole
comparative literature;study of literary works from different cultures (often in translation)
astrometry;the branch of astronomy that deals with the measurement of the position and motion of celestial bodies
audiometry;the measurement of hearing
chemical science;the branch of the natural sciences dealing with the composition of substances and their properties and reactions
vector algebra;the part of algebra that deals with the theory of vectors and vector spaces
matrix algebra;the part of algebra that deals with the theory of matrices
social science;the branch of science that studies society and the relationships of individual within a society
semantics;the study of language meaning
dental orthopedics;the branch of dentistry dealing with the prevention or correction of irregularities of the teeth
cryogeny;the branch of physics that studies the phenomena that occur at very low temperatures
cognitive psychology;an approach to psychology that emphasizes internal mental processes
medicine;the branches of medical science that deal with nonsurgical techniques
library science;the study of the principles and practices of library administration
ai;the branch of computer science that deal with writing computer programs that can solve problems creatively. 'workers in ai hope to imitate or duplicate intelligence in computers and robots'the branch of computer science that deal with writing computer programs that can solve problems creatively. 'workers in ai hope to imitate or duplicate intelligence in computers and robots'
philology;the humanistic study of language and literature
