utility revenue bond;a bond issued to finance the construction of public utility services
carry forward;(british) the accumulated and undivided profits of a corporation after provision has been made for dividends and reserves
utility bond;a bond issued to finance the construction of public utility services
bond certificate;an interest-bearing (or discounted) certificate of debt issued by a government or corporation in order to raise money
accounting system;a bookkeeper's chronological list of related debits and credits of a business. forms part of a ledger of accounts
bearer bond;a bond issued with detachable coupons that must be presented to the issuer for interest payments
unsecured bond;a bond that is backed by the credit of the issuer but not by any specific collateral
balance of trade;the difference in value over a period of time of a country's imports and exports of merchandise. 'a nation's balance of trade is favorable when its exports exceed its imports'
promissory note;a promise to pay a specified amount on demand or at a certain time. 'i had to co-sign his note at the bank'
audit;an inspection of the accounting procedures and records by a trained accountant
daybook;a ledger in which transactions have been recorded as they occurred
trial balance;a balance of debits and credits in double-entry bookkeeping. drawn up to test their equality
balance;an amount on the credit side of an account
commercial paper;short-term obligations issued by institutional borrowers to investors with temporarily idle cash
debit;an accounting entry acknowledging sums that are owing
