left wing;those trying to overthrow the established order
cortege;a funeral procession
oxford movement;19th-century movement in the church of england opposing liberal tendencies
junta;a clique that seeks power usually through intrigue
movement;"a group of people with a common ideology who try together to achieve certain general goals. 'he was a charter member of the movement'. 'politicians have to respect a mass movement'. 'he led the national liberation front'"
tribalism;the culture and organization of a tribe
society;"an extended social group having a distinctive cultural and economic organization"
subgroup;"a distinct and often subordinate group within a group"
camp;an exclusive circle of people with a common purpose
helladic civilization;the bronze-age culture of mainland greece 2500-1100 bc
callithump;a noisy boisterous parade
tenantry;"tenants of an estate considered as a group"
right;the conservative faction of a political party
caravan;a procession (of wagons or mules or camels) traveling together in single file. 'we were part of a caravan of almost a thousand camels'. 'they joined the wagon train for safety'
special interest;an individual or group who are concerned with some particular part of the economy and who try to influence legislators or bureacrats to act in their favor
rescue party;a party of rescuers
party to the action;a party of people taking a role in legal proceedings
neoromanticism;an art movement based on a revival of romanticism in art and literature
nouvelle vague;an art movement in french cinema in the 1960s
cavalcade;a procession of people traveling on horseback
hunger march;a march of protest or demonstration by the unemployed
realism;an artistic movement in 19th century france. artists and writers strove for detailed realistic and factual description
avant garde;artists or writers whose ideas are ahead of their time
parade;a ceremonial procession including people marching
party to the transaction;a party of people taking a role in legal proceedings
ecumenical movement;a movement (especially among protestant denominations) aimed to promote understanding and cooperation among christian churches. aimed ultimately at universal christian unity
defense team;"the defendant and his legal advisors collectively. 'the defense called for a mistrial'"
age of reason;a movement in the 18th century that advocated the use of reason in the reappraisal of accepted ideas and social institutions
minoan culture;the bronze-age culture of crete 3000-1100 bc
callithump parade;a noisy boisterous parade
mycenaean culture;the bronze-age culture of mycenae 1400-1100 bc
band;"an unofficial association of people or groups. 'the smart set goes there'. 'they were an angry lot'"
loop;an inner circle of advisors (especially under president reagan). 'he's no longer in the loop'
faction;a dissenting clique
defense;"the defendant and his legal advisors collectively. 'the defense called for a mistrial'"
motorcade;a procession of people traveling in motor cars
landing party;a part of a ship's company organized for special duties ashore
train;a procession (of wagons or mules or camels) traveling together in single file. 'we were part of a caravan of almost a thousand camels'. 'they joined the wagon train for safety'
set;"an unofficial association of people or groups. 'the smart set goes there'. 'they were an angry lot'"
camarilla;a clique that seeks power usually through intrigue
trade union movement;an organized attempt by workers to improve their status by united action especially via labor unions (especially the leaders of this movement)
enlightenment;a movement in the 18th century that advocated the use of reason in the reappraisal of accepted ideas and social institutions
cubism;an artistic movement in france beginning in 1907 that featured surfaces of geometrical planes
junto;a clique that seeks power usually through intrigue
supra expressionism;a movement that tried to go beyond expressionism
faction;a clique that seeks power usually through intrigue
conspiracy;a group of conspirators banded together to achieve some harmful or illegal purpose
wagon train;a procession (of wagons or mules or camels) traveling together in single file. 'we were part of a caravan of almost a thousand camels'. 'they joined the wagon train for safety'
clique;an exclusive circle of people with a common purpose
vanguard;artists or writers whose ideas are ahead of their time
syndicalism;a radical political movement that advocates bringing industry and government under the control of labor unions
helladic culture;the bronze-age culture of mainland greece 2500-1100 bc
constructivism;an abstractionist artistic movement in russia after world war i. industrial materials were used to construct nonrepresentational objects
mycenaean civilization;the bronze-age culture of mycenae 1400-1100 bc
maffia;(informal) any tightly knit group of trusted associates
prosecution;"the lawyers acting for the state to put the case against the defendant"
search party;a party of people to search for someone
minoan civilization;the bronze-age culture of crete 3000-1100 bc
pro life faction;those who argue that induced abortion is killing and should be prohibited
confederacy;a group of conspirators banded together to achieve some harmful or illegal purpose
sinn fein;an irish republican political movement founded in 1905 to promote independence from england and unification of ireland. became the political branch of the irish republican army
expressionism;an art movement early in the 20th century. the artist's subjective expression of inner experiences was emphasized
inner circle;an exclusive circle of people with a common purpose
horsey set;a set of people sharing a devotion to horses and horseback riding and horse racing
common front;a movement in which several individuals or groups with different interests join together. 'the unions presented a common front at the bargaining table'
flock;a church congregation guided by a pastor
humanism;the cultural movement of the renaissance. based on classical studies
dadaism;a nihilistic art movement (especially in painting) that flourished in europe early in the 20th century. based on irrationality and negation of the accepted laws of beauty
pietism;17th and 18th-century movement in the german lutheran church stressing personal piety and devotion
sect;a dissenting clique
congregation;"an assemblage of people or animals or things collected together. 'a congregation of children pleaded for his autograph'. 'a great congregation of birds flew over'"
convoy;a procession of land vehicles traveling together
congregation;"a group of people who adhere to a common faith and habitually attend a given church"
callathump;a noisy boisterous parade
